type,area,price,winery_name,vintage,size,name,info,internal_notes
ROSE,, 50.00,YVAN BERNARD,,BOTTLE,PET NAT ROSE’ 5455,,
WHITE,4-3, 40.00,ANSELMI,2021,BOTTLE,CAPITELCROCE I.G.T.,,
WHITE,4-3, 40.00,ANSELMI,2022,BOTTLE,CAPITEL FOSCARINO I.G.T.,,
WHITE,4-3, 30.00,ANSELMI,2022,BOTTLE,SAN VINCENZO VENETO I.G.T.,,
WHITE,3-3, 30.00,ANTICA MASSERIA VENDITTI,2019,BOTTLE,FALANGHINA DEL SANNIO,,
WHITE,4-4 + SCATOLA, 45.00,BORGO PAGLIANETTO,2019,BOTTLE,VERDICCHIO DI MATELICA D.O.C. VERTIS /20,,
WHITE,4-3, 35.00,CA LOJERA,2022,BOTTLE,LUGANA D.O.C.,,
WHITE,4.2, 35.00,"CA' DI GAL,MOS",2022,BOTTLE,ATO D'ASTI LUMINE,,
WHITE,3-3, 35.00,CANTINA MARILINA,2021,BOTTLE,GRECANICO SKETTA BIO,,
WHITE,4-3, 50.00,CASTELLO DI AMA,2022,BOTTLE,AL POGGIO I.G.T.,,
WHITE,4-1, 35.00,CAVE MONT BLANC,2022,BOTTLE,BLANC DE MORGEX ET DE LA SALLE,,
WHITE,4-4, 38.00,CERETTO,2022,BOTTLE,LANGHE D.O.C. ARNEIS BLANGE',,
WHITE,4-2, 50.00,COLTERENZIO,2021,BOTTLE,CHARDONNAY D.O.C. LAFÓA,,
WHITE,4-2, 35.00,COLTERENZIO,2022,BOTTLE,GEWÜRZTRAMINER D.O.C. PERELISE,,
WHITE,FRIGO MESCITA, 25.00,COLTERENZIO,2022,BOTTLE,MOSCATO GIALLO D.O.C. PFEFFERER,,
WHITE,FRIGO MESCITA E 4-2, 35.00,COLTERENZIO,2020,BOTTLE,PINOT BIANCO D.O.C. BERG,,
WHITE,4-2, 50.00,COLTERENZIO,2021,BOTTLE,SAUVIGNON D.O.C. LAFÓA,,
WHITE,4-3, 30.00,DRAGA,,BOTTLE,FRIULANO COLLIO,,
WHITE,4-4, 45.00,ENRICO SERAFINO,2022,BOTTLE,GAVI  GRIFO DEL QUARTARO D.O.C.G..,,
WHITE,4-4, 70.00,FERRANDES,2018,BOTTLE,PASSITO PANTELLERIA,,
WHITE,3-3, 35.00,FEUDI DI SAN GREGORIO,2022,BOTTLE,GRECO DI TUFO CUTIZZI D.O.C.G.,,
WHITE,4-4, 40.00,FRANCESCO INTORCIA,,BOTTLE,HERITAGE PASSITO I.G.T. SICILIA,,
WHITE,FRIGO MESCITA, 30.00,FRATELLI MURARO,2021,BOTTLE,PINOT GRIGIO DELLE VENEZIE D.O.C.,,
WHITE,4-4 + SCATOLA, 45.00,GIUSEPPE CORTESE,,BOTTLE,CHARDONNAY SCAPULIN LANCHE D.O.C.,,
WHITE,2-3, 180.00,GRAVNER,2015,BOTTLE,RIBOLLA I.G.T.,,
WHITE,4-3, 30.00,GRILLO IOLE,2021,BOTTLE,RIBOLLA GIALLA D.O.C.,,
WHITE,, 50.00,GUIDO F.FENDI,2019,BOTTLE,VERMENTINO BURATTINI,,
WHITE,, 45.00,GUIDO F.FENDI,2020,BOTTLE,VERMENTINO MAREMMA TOSCACA ‘CHICCA’,,
WHITE,4-2, 40.00,HARTMANN DONA',2021,BOTTLE,PINOT BLANC D.O.C.,,
WHITE,4-4, 30.00,INAMA,2022,BOTTLE,SOAVE CLASSICO D.O.C. 'VIN SOAVE',,
WHITE,4-3, 25.00,INAMA,2021,BOTTLE,VENETO CHARDONNAY,,
WHITE,4-3, 65.00,INAMA,2021,BOTTLE,VULCAIA FUME' SAUVIGNON DEL VENETO,,
WHITE,4-3, 30.00,INAMA,2022,BOTTLE,VULCAIA SAUVIGNON DEL VENETO,,
WHITE,4-1, 65.00,J. HOFSTÄTTER,2021,BOTTLE,GEWÜRZTRAMINER'KOLBENHOF' RISERVA,,
WHITE,4-1, 35.00,J. HOFSTÄTTER,2022,BOTTLE,GEWÜRZTRAMINER JOSEPH D.O.C.,,
WHITE,SCAFFALE , 40.00,LA COLOMBERA,,BOTTLE,TIMORASSO COLLI TORTONESI D.O.C. DERTHONA,,
WHITE,FRIGO MESCITA, 25.00,LA FRASSINA,2020,BOTTLE,LISON D.O.C.G.,,
WHITE,4-3, 30.00,LE BATTISTELLE,2021,BOTTLE,SOAVE CLASSICO D.O.C.,,
WHITE,, 80.00,LES CRETES,2021,BOTTLE,CHARDONNAY CUVÉE BOIS,,
WHITE,, 35.00,LES CRETES,,BOTTLE,CHARDONNAY LES CRETES,,
WHITE,, 35.00,LES CRETES,2022,BOTTLE,PETITE ARVINE,,
WHITE,SCAFFALE , 30.00,MAELI,,BOTTLE,MOSCATO FRIZZANTE DILI' I.G.T.,,
WHITE,SCAFFALE , 38.00,MARCO SARA,,BOTTLE,RIBOLLA GIALLA D.O.C. BIO,,
WHITE,FRIGO MESCITA, 30.00,MASARI,2021,BOTTLE,AGNOBIANCO VENETO I.G.T.,,
WHITE,4-3, 35.00,MASUT DA RIVE,2022,BOTTLE,FRIULANO ISONZO D.O.C.,,
WHITE,4-3, 35.00,MASUT DA RIVE,2022,BOTTLE,SAUVIGNON BLANC ISONZO,,
WHITE,4-4 + SCATOLA, 35.00,MICHELUTTI,2021,BOTTLE,FRIULANO COLLI ORIENTALI D.O.C.,,
WHITE,, 55.00,PARASCHOS,2020,BOTTLE,NOT IGT,,
WHITE,, 30.00,PATRIZIA CADORE,2022,BOTTLE,LUGANA D.O.C.,,
WHITE,FRIGO MESCITA, 30.00,PIEROPAN,2022,BOTTLE,SOAVE CLASSICO,,
WHITE,4-1, 45.00,PIEROPAN,2021,BOTTLE,SOAVE CLASSICO IL CALVARINO 50° ANNIVERSARIO,,
WHITE,4-4, 65.00,PIEROPAN,2021,BOTTLE,SOAVE CLASSICO LA ROCCA,,
WHITE,3-3, 30.00,PIEVALTA,2020,BOTTLE,VERDICCHIO CASTELLI DI JESI CLASSICO SUPERIORE DOMINE' D.O.C. BIO,,
WHITE,SCAFFALE , 30.00,PODERE GIARDINO,,BOTTLE,MALVASIA DELL'EMILIA I.G.P. METODO ANCESTRALE,,
WHITE,3-3, 40.00,QUADRO REPETTO,2020,BOTTLE,DERTHONA,,
