ok,external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score,,
TRUE,80,WHITE,Chardonnay Donà d'Or,Weingut Hartmann Donà,,BOTTLE,2013,8500,,4,"purchase_price: 37.50 € , supplier: Akos, retail_price: 75.49 € , glass_price: € 14.17",Donà D’Or Chardonnay,Hartmann Donà,wine_01h0qzm1v5szg1dnd7kfp8q3hd,,47.99871,,47.99871
TRUE,82,WHITE,Chardonnay Alte Reben,Berhard Huber,,BOTTLE,,6700,,1,"purchase_price: 30.50 € , supplier: WD, retail_price: 61.40 € , glass_price: € 11.17",Alte Reben Chardonnay,Bernhard Huber,wine_01havweetzxwa1ny6bfa8bds7b,,41.633873,,41.633873
TRUE,83,WHITE,Chardonnay Foll,Cantina Toblino,,BOTTLE,2019,4200,,27,"purchase_price: 14.50 € , supplier: Cuzziol, retail_price: 29.19 € , glass_price: € 7.00",Foll,Cantina Toblino,wine_01h0my5txwaayp8anmjb3vn03g,,42.892693,,42.892693
TRUE,84,WHITE,Chardonnay Moraine,Untermoserhof - Georg Ramoser,,BOTTLE,2020,5400,,11,"purchase_price: 19.00 € , supplier: WD, retail_price: 38.25 € , glass_price: € 9.00",Moraine Chardonnay Riserva,Untermoserhof,wine_01h0r2pqbrt8w5dcm9411dkvfd,,35.671787,,35.671787
TRUE,84.5,WHITE,Chardonnay Kreuzweg,Castelferder,,BOTTLE,2019,13000,,12,"purchase_price: 65.00 € , supplier: WD, retail_price: 130.85 € , glass_price: € 21.67",Kreuzweg Chardonnay Riserva,Castelfeder,wine_01h0qsxmwgk8t28kb8pfzpaz06,,35.70687,,35.70687
TRUE,85,WHITE,Pinot Grigio - Castel Ringberg,Weingut Elena Walch,,BOTTLE,2022,4700,,6,"purchase_price: 17.05 € , supplier: FW, retail_price: 34.32 € , glass_price: € 7.83",Vigna ''Castel Ringberg'' Pinot Grigio,Elena Walch,wine_01gzr4kt16sm52a0mjjy0q62v0,,57.60015,,57.60015
TRUE,86,WHITE,Pinot Grigio - Aristos,Eisacktaler kellerei,,BOTTLE,2019,4000,,2,"purchase_price: 11.50 € , supplier: WD, retail_price: 23.15 € , glass_price: € 6.67",Aristos Pinot Grigio,Kellerei Eisacktal - Cantina Valle Isarco,wine_01h0my5tyagq18a31b4ng5x5v6,,26.320217,,26.320217
TRUE,87,WHITE,Pinot Grigio - Punggl,Nals Margreid,,BOTTLE,2021,4100,,20,"purchase_price: 11.85 € , supplier: WD, retail_price: 23.85 € , glass_price: € 6.83",Punggl Pinot Grigio,Nals Margreid,wine_01gzr4kspd0bp2fctnk2bf86eg,1923184,56.800972,1923184,56.800972
TRUE,88,WHITE,Pinot Grigio Porer,Weingut Alois Lageder,,BOTTLE,2021,4200,,16,"purchase_price: 14.45 € , supplier: WD, retail_price: 29.09 € , glass_price: € 7.00",PORER Pinot Grigio,Alois Lageder,wine_01h0my5rfeewa9d3h8hgbg3f6g,,53.462154,,53.462154
TRUE,89,WHITE,Pinot Grigio Puiten,Kellerei Schreckbichl,,BOTTLE,2020,3600,,7,"purchase_price: 10.20 € , supplier: WD, retail_price: 20.53 € , glass_price: € 6.00",Puiten Pinot Grigio,Colterenzio (Schreckbichl),wine_01gzr4kt49djz02r2jrx04daep,,36.124588,,36.124588
TRUE,90,WHITE,Pinot Grigio Riserva Giatl,Weingut Peter Zemmer,,BOTTLE,2020,4600,,10,"purchase_price: 16.90 € , supplier: WD, retail_price: 34.02 € , glass_price: € 7.67",Pinot Grigio Riserva Giatl,Peter Zemmer,wine_01h4pmmfh8vj0yp1wpg8349ynf,,54.813797,,54.813797
TRUE,91,WHITE,Müller Thurgau Sass Rigais,Weingut Manni Nössing,,BOTTLE,2022,3900,,17,"purchase_price: 10.50 € , supplier: FW, retail_price: 21.14 € , glass_price: € 6.50",Sass Rigais Müller Thurgau,Manni Nössing,wine_01h0qzm1va5m3vn297amcfbycw,,67.54852,,67.54852
TRUE,92,WHITE,Müller Thurgau Vigna Feldmarschall,Schlosskellerei Tiefenbrunner,,BOTTLE,2020,6900,,16,"purchase_price: 33.25 € , supplier: FW, retail_price: 66.93 € , glass_price: € 11.50",Feldmarschall von Fenner Müller,Tiefenbrunner,wine_01h0sq47vezrd4vebp8esf2ybf,,39.70005,,39.70005
TRUE,93,WHITE,Müller Thurgau Vigna Feldmarschall,Schlosskellerei Tiefenbrunner,,BOTTLE,2010,7500,,3,"purchase_price: 28.75 € , supplier: FW, retail_price: 57.87 € , glass_price: € 12.50",Feldmarschall von Fenner Müller,Tiefenbrunner,wine_01h0sq47vezrd4vebp8esf2ybf,,39.70005,,39.70005
TRUE,95,WHITE,Kerner Karneid,Weingut Franz Gojer,,BOTTLE,2022,3900,,11,"purchase_price: 9.95 € , supplier: WD, retail_price: 20.03 € , glass_price: € 6.50",Karneid Kerner,Franz Gojer,wine_01h0qzm1qfcws7ddh14ka0e8xd,,48.581684,,48.581684
TRUE,96,WHITE,Kerner Aurona,Kellerei Laimburg,,BOTTLE,2015,5200,,5,"purchase_price: 16.90 € , supplier: WD, retail_price: 34.02 € , glass_price: € 8.67",Auròna,Laimburg,wine_01h0my5rrnqwz80z8w9eevn0gc,,35.39415,,35.39415
TRUE,97,WHITE,Kerner,Rielinger,,BOTTLE,2022,4000,,10,"purchase_price: 13.60 € , supplier: WD, retail_price: 27.38 € , glass_price: € 6.67",Kerner,Rielinger,wine_01hcwvb3pvqthbfjvwn1hj9p2n,,40.723755,,40.723755
TRUE,99,WHITE,Grüner Veltliner Hautnah,Weingut Garlider,,BOTTLE,2016,6100,,2,"purchase_price: 24.60 € , supplier: WD, retail_price: 49.52 € , glass_price: € 10.17",Hautnah,Garlider,wine_01h0qzm1g3a94dphd4pkjrhdts,,43.840878,,43.840878
