wine_id,external_id,size,vintage,price,purchase_price,info,storage_area,quantity,internal_notes
wine_01gzr4ktq47w415nv7n8w3shhg,135.0,BOTTLE,2019.0,7000,0.0,,,9.0,super limitiert
wine_01gzr4ktq47w415nv7n8w3shhg,135.0,BOTTLE,2020.0,7000,0.0,,,6.0,super limitiert
wine_01gzr4ksd1fnr67jf8jfan1y6x,139.0,BOTTLE,2019.0,3700,0.0,,,3.0,
wine_01gzr4kt84510z7t51yh4wewdh,140.0,BOTTLE,2018.0,3000,0.0,,,4.0,
wine_01gzr4ksswndtayhsp089ks5c1,141.0,BOTTLE,2019.0,3700,0.0,,,2.0,
wine_01gzr4ksswndtayhsp089ks5c1,141.0,BOTTLE,2020.0,3700,0.0,,,6.0,
wine_01gzr4ktes5agcj68hd5gda8tv,142.0,BOTTLE,2016.0,3600,0.0,,,7.0,
wine_01gzr4ksd26w035f1fyngbtc2g,143.0,BOTTLE,2021.0,4800,0.0,,,4.0,
wine_01gzr4ksnx8asdj89jfbepz68c,144.0,BOTTLE,2020.0,7800,0.0,,,9.0,
wine_01gzr4ksnx8asdj89jfbepz68c,144.0,MAGNUM,2020.0,15000,0.0,,,1.0,
wine_01gzr4ktfgst7pg802das6cq32,145.0,BOTTLE,2018.0,5800,0.0,,,5.0,
wine_01gzr4kt1pts0qc6257pa9w557,146.0,BOTTLE,2015.0,10000,0.0,"James Suckling 97 Punkte , Robert Parker 93 Punkte",,7.0,
wine_01gzr4ktfgsnd47xs02ye7gr6g,147.0,BOTTLE,2015.0,13000,0.0,"James Suckling 99/100 , Robert Parker 98/100",,8.0,
wine_01h0f3cmb3kdn8xhtpbvng3mbs,148.0,BOTTLE,2015.0,15000,0.0,"James Suckling 100 Punkte, Falstaff 99 Punkte",,6.0,
wine_01gzr4ksd6hxayhxgx9bvd6ge3,149.0,BOTTLE,2019.0,10900,0.0,Robert Parker 96 Punkte,,5.0,
wine_01gzr4ksswn8cnrh7jb8qff1wy,150.0,BOTTLE,2019.0,11800,0.0,,,4.0,
wine_01gzr4ksswn8cnrh7jb8qff1wy,150.0,BOTTLE,2021.0,11800,0.0,,,6.0,
wine_01gzr4ksswn8cnrh7jb8qff1wy,150.0,BOTTLE,2020.0,11800,0.0,,,2.0,
wine_01h0my5rm9jp96emkssr3n64wy,151.0,BOTTLE,2019.0,15800,0.0,James Suckling 99 Punkte,,1.0,
wine_01h0my5rm9jp96emkssr3n64wy,151.0,BOTTLE,2020.0,15800,0.0,James Suckling 99 Punkte,,3.0,
wine_01h0my5rm9jp96emkssr3n64wy,151.0,BOTTLE,2021.0,15800,0.0,James Suckling 99 Punkte,,3.0,
wine_01gzr4kt84z2nc5cd3spjanz4t,152.0,BOTTLE,2020.0,25500,0.0,,,4.0,
wine_01gzr4kt84z2nc5cd3spjanz4t,152.0,MAGNUM,2019.0,50000,0.0,,,1.0,
wine_01gzr4kt84z2nc5cd3spjanz4t,152.0,JEROBOAM,2016.0,165000,0.0,,,1.0,
