external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes
116,RED,"CABERNET „FREIENFELD“ KELLEREI KURTATSCH (trebicchieri, Gambero Rosso) ",,"trebicchieri, Gambero Rosso",MAGNUM,0,7100,0.0,0.0,,
117,RED,CABERNET „TOREN“ TIEFENBRUNNER ,,,BOTTLE,0,11500,0.0,0.0,,
118,RED,LAGREIN GRIES VILLA SCHMID - SCHMID OBERRAUTNER ,,,BOTTLE,0,3500,0.0,0.0,,
119,RED,Lagrein Riserva „Valpitan“ Weingut Pföstl Schenna ,,,BOTTLE,0,5000,0.0,0.0,,
120,RED,Lagrein „Mirell“ Ansitz Waldgries ,,"Gambero Rosso 3 bicchieri, Falstaff 93 Punkte",BOTTLE,0,6200,0.0,0.0,,
121,RED,LAGREIN RISERVA „TABER“ KELLEREI BOZEN ,,"Gambero Rosso 3 bicchieri
+ 1,5 l + 3 l + 6 l",BOTTLE,0,7100,0.0,0.0,,
121,RED,LAGREIN RISERVA „TABER“ KELLEREI BOZEN ,,"Gambero Rosso 3 bicchieri
+ 1,5 l + 3 l + 6 l",MAGNUM,0,7100,0.0,0.0,,
121,RED,LAGREIN RISERVA „TABER“ KELLEREI BOZEN ,,"Gambero Rosso 3 bicchieri
+ 1,5 l + 3 l + 6 l",JEROBOAM,0,7100,0.0,0.0,,
121,RED,LAGREIN RISERVA „TABER“ KELLEREI BOZEN ,,"Gambero Rosso 3 bicchieri
+ 1,5 l + 3 l + 6 l",MATHUSALEM,0,7100,0.0,0.0,,
122,RED,LAGREIN RISERVA “PORPHYR” KELLEREI TERLAN ,,,BOTTLE,0,7500,0.0,0.0,,
123,RED,Lagrein “Gloria” Weingut Nusserhof ,,,BOTTLE,0,8600,0.0,0.0,,
123,RED,Lagrein “Gloria” Weingut Nusserhof ,,,MAGNUM,0,8600,0.0,0.0,,
124,RED,Lagrein Riserva “Weingarten Klosteranger” MURI-GRIES ,, RobertParker 95 Punkte,BOTTLE,0,9900,0.0,0.0,,
125,RED,„Lamarein“ ERBHOF Unterganzner „RARITÄT“ ,,,BOTTLE,0,9600,0.0,0.0,,
125,RED,„Lamarein“ ERBHOF Unterganzner „RARITÄT“ ,,,MAGNUM,0,9600,0.0,0.0,,
126,RED,lagrein Perflabiluis Griesbauerhof,,,BOTTLE,0,0,0.0,0.0,,
127,RED,“TORILAN” KELLEREI TERLAN ,,,BOTTLE,0,3300,0.0,0.0,,
128,RED,“CASSIANO” BIO MANINCOR ,,,BOTTLE,0,5300,0.0,0.0,,
129,RED,„Anticus“ Riserva Cuvee Kellerei Nals Margreid (Falstaff 93 Punkte) ,,Falstaff 93 Punkte,BOTTLE,0,6200,0.0,0.0,,
129,RED,„Anticus“ Riserva Cuvee Kellerei Nals Margreid (Falstaff 93 Punkte) ,,Falstaff 93 Punkte,MAGNUM,0,6200,0.0,0.0,,
130,RED,“Athos” Ansitz Dolomytos Sacker ,,,BOTTLE,0,6800,0.0,0.0,,
131,RED,“Lacus” Weingut Walter Schullian ,,,BOTTLE,0,7100,0.0,0.0,,
131,RED,“Lacus” Weingut Walter Schullian ,,,MAGNUM,0,7100,0.0,0.0,,
132,RED,“CASTEL CAMPAN” MANINCOR ,,,BOTTLE,0,9700,0.0,0.0,,
133,RED,Tres kurtatsch,,,BOTTLE,0,0,0.0,0.0,,
134,RED,“Zweigelt” Weingut HimmelreicH ,,,BOTTLE,0,3500,0.0,0.0,,
