ok,external_id,type,name,winery_name,storage_area,size,vintage,price_eur,price,quantity,info,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
TRUE,67,SPARKLING,BRUT CHAMPAGNE CUVEE DE HUMBERT,AUBRY,,BOTTLE,2009,120,12000,0,,,Aubry de Humbert Champagne 1er Cru,Aubry,wine_01h4pmmgg3agcap38f1w7v37wc,,35.61447
FALSE,68,SPARKLING,EXTRA BRUT CHAMP. SABLE' ROSE,AUBRY,,BOTTLE,2014,150,15000,0,,,Sable Rosé Brut,Aubry,wine_01h4pmmgg36ppcppnjjh2chgjd,,39.583145
TRUE,69,SPARKLING,BRUT CHAMPAGNE PREMIERE CUVEE,BRUNO PAILLARD,,BOTTLE,,110,11000,0,,,Champagne Brut Premiere Cuvee,Bruno Paillard,wine_01hygjgaa4mnpg4cxnemd8vfb4,,42.299877
TRUE,70,SPARKLING,BRUT CHAMPAGNE BLANC DE BLANC GRAND CRU,BRUNO PAILLARD,,BOTTLE,,0,0,0,,,Blanc de Blancs Champagne Grand Cru,Bruno Paillard,wine_01gzr4ks5hvrwywht48ktm381b,,46.85152
FALSE,71,SPARKLING,BRUT CHAMPAGNE PREMIERE CUVEE ROSE,BRUNO PAILLARD,,BOTTLE,,140,14000,0,,,Champagne Brut Premiere Cuvee,Bruno Paillard,wine_01hygjgaa4mnpg4cxnemd8vfb4,,42.299877
TRUE,72,SPARKLING,BRUT CHAMPAGNE VINTAGE CUVEE VICTOR,MANDOIS,,BOTTLE,2012,130,13000,0,,,Victor Mandois Brut Champagne,Mandois,wine_01h4pmmgnp2hq2etqw5bwe4zwy,,39.27758
TRUE,73,SPARKLING,BRUT CHAMPAGNE TRADITION,ALAIN VESSELLE,,MAGNUM,,0,0,0,,,Brut Tradition Champagne Grand Cru 'Bouzy',Alain Vesselle,wine_01h4pmmgfq7ay7vraqt0kz8w4e,,42.25122
FALSE,74,SPARKLING,EXTRA BRUT CHAMPAGNE 1ER CRU LES VIGNES DE VRIGNY,EGLY OURIET,,BOTTLE,,140,14000,0,,,Les Vignes de Vrigny Brut Champagne Premier Cru,Egly-Ouriet,wine_01h0f3cmbqng4amtz0kpnz4zte,,58.80817
TRUE,75,SPARKLING,BRUT CHAMPAGNE GRAND CRU BLANC DE NOIRS,EGLY OURIET,,BOTTLE,2014,180,18000,0,,,Blanc de Noirs Brut Champagne Grand Cru 'Les Crayeres' Ambonnay,Egly-Ouriet,wine_01h4pmmgfaraz8hy5zthavrbb9,,54.517807
TRUE,76,SPARKLING,BRUT CHAMPAGNE GRAND CRU TRADITION,EGLY OURIET,,BOTTLE,2016,150,15000,0,,,Brut Tradition Champagne Grand Cru 'Ambonnay',Egly-Ouriet,wine_01h0f3cmbp43pck8nwdr89bezn,,56.40645
TRUE,77,SPARKLING,BRUT CHAMPAGNE GRAND CRU MILLESIME',EGLY OURIET,,BOTTLE,2012,480,48000,0,,,Millésime Brut Champagne Grand Cru 'Ambonnay',Egly-Ouriet,wine_01h0r2pq4jgfqamvz021fhvffn,,56.93396
TRUE,78,SPARKLING,BRUT NATURE CHAMPAGNE HERACLITE,TIMOTHEE STROEBEL,,BOTTLE,2017,150,15000,0,,,Héraclite Brut Nature Champagne Premier Cru,Stroebel,wine_01h4pmmgg8zeyy0z42mgg7s841,,47.018444
TRUE,79,SPARKLING,BRUT CHAMP. 1ER CRU L'HOMMEE,ROGER COULON,,BOTTLE,,130,13000,0,,,Vrigny l'Hommée Champagne Premier Cru,Roger Coulon,wine_01hawwczejt9nsemved42hrr50,,44.61615
FALSE,80,SPARKLING,BRUT CHAMP. 1ER CRU ESPRIT DE VRIGNY,ROGER COULON,,BOTTLE,,0,0,0,,,Esprit de Vrigny Brut Nature Champagne Premier Cru,Roger Coulon,wine_01h4pmmgg6amg6jk2s9xs6fghe,,47.85618
TRUE,81,SPARKLING,BRUT CHAMP. BLANC DE NOIRS MILLESIME SYNODE,ROGER COULON,,BOTTLE,2016,200,20000,0,,,Synode Champagne,Roger Coulon,wine_01hfxnejzf13cw868bj40j3jqs,,47.940235
TRUE,82,SPARKLING,BRUT CHAMP. MILLESIME BLANC DE NOIR,ROGER COULON,,BOTTLE,2013,170,17000,0,,,Millésime Blanc de Noirs Champagne,Roger Coulon,wine_01harvcmefj0gsxmc45gsndaq2,,45.638336
TRUE,83,SPARKLING,BRUT CHAMPAGNE GRAND CRU B&B SPECIAL CLUB,H. GOUTORBE,,BOTTLE,2008,160,16000,0,,,Special Club Brut Champagne Grand Cru 'Aÿ',H. Goutorbe,wine_01gzr4ks64xrvh8avth7gvzhc4,,50.556007
TRUE,84,SPARKLING,BRUT CHAMPAGNE BLANC DE BLANC,THIENOT,,BOTTLE,,110,11000,0,,,Blanc de Blancs Champagne,Thienot,wine_01h4pmmfead68h8v37hy7rhje9,,42.419243
TRUE,85,SPARKLING,BRUT CHAMPAGNE MILLESIME,THIENOT,,BOTTLE,2012,140,14000,0,,,Brut Millésimé Champagne,Thienot,wine_01havweds7vbey7sfry1fheezs,,40.141106
TRUE,86,SPARKLING,BRUT CHAMPAGNE B&N CUVEE DES LYS CHARLES VII,CANARD DUCHENE,,BOTTLE,,120,12000,0,,,Charles VII Grande Cuvée Brut Champagne,Canard-Duchêne,wine_01h0f3cmbmbmvw01dpej19m1zp,,55.370174
TRUE,87,SPARKLING,BRUT CHAMPAGNE RESERVE,BERECHE ET FILS,,BOTTLE,,120,12000,0,,,Brut Réserve Champagne,Bérêche & Fils,wine_01gzr4ksxc64qf9xsba2g0fwfw,,39.384773
TRUE,88,SPARKLING,EXTRA BRUT CHAMPAGNE 1ER CRU LE PETITE MONTAGNE,PONSON,,BOTTLE,,0,0,0,,,La Petite Montagne Extra Brut Champagne Premier Cru,Pascal Ponson,wine_01h4pmmfcv0ckb86r9aq2dh4kd,,34.900208
FALSE,89,SPARKLING,BRUT ROEDERER PREMIER VINTAGE,LOUIS ROEDERER,,BOTTLE,2012,160,16000,0,,,Théophile Roederer Extra Brut Champagne,Louis Roederer,wine_01gzr4ks5tcfz7v92ev1pa5ps2,,42.854202
FALSE,90,SPARKLING,BRUT ROEDERER PREMIER ROSE',LOUIS ROEDERER,,BOTTLE,2017,180,18000,0,,,Théophile Roederer Extra Brut Champagne,Louis Roederer,wine_01gzr4ks5tcfz7v92ev1pa5ps2,,42.854202
TRUE,91,SPARKLING,BRUT ROEDERER COLLECTION 244,LOUIS ROEDERER,,BOTTLE,,130,13000,0,,,Collection 244 Champagne,Louis Roederer,wine_01gzr4ks5t3r3m2xqxvqrmzvgc,,46.183655
TRUE,92,SPARKLING,BRUT ROEDERER COLLECTION 243,LOUIS ROEDERER,,MAGNUM,,260,26000,0,,,Collection 243 Champagne,Louis Roederer,wine_01gzr4ks5tefbv8mz37yrb2ndk,,46.183655
TRUE,93,SPARKLING,BRUT ROEDERER COLLECTION 242,LOUIS ROEDERER,,MAGNUM,,0,0,0,,,Collection 242 Champagne,Louis Roederer,wine_01gzr4ks5tkz3teyz5d7mgv3q3,,46.183655
TRUE,94,SPARKLING,BRUT ROEDERER COLLCTION 243,LOUIS ROEDERER,,JEROBOAM,,590,59000,0,,,Collection 243 Champagne,Louis Roederer,wine_01gzr4ks5tefbv8mz37yrb2ndk,,45.55933
FALSE,95,SPARKLING,BRUT ROEDERER ROSE’,LOUIS ROEDERER,,MAGNUM,2013,350,35000,0,,,Théophile Roederer Extra Brut Champagne,Louis Roederer,wine_01gzr4ks5tcfz7v92ev1pa5ps2,,42.854202
