ok,external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
TRUE,,RED,Blauburgunder Haidenhof,Blauburgunder Haidenhof,,BOTTLE,2021,5500,,50,,Blauburgunder,Haidenhof,wine_01hcw4dg354tm584m2nk9bng5g,,38.263382
TRUE,,RED,Blauburgunder Monticol Cantina Terlano,Blauburgunder Monticol Cantina Terlano,,BOTTLE,2020,5800,,50,,Pinot Noir Riserva Monticol,Terlan (Terlano),wine_01gzr4ksn5agw365140he6yvs3,5313357,45.274033
TRUE,,RED,Pinot Nero Ris. St. Daniel Colterenzio,Pinot Nero Ris. St. Daniel Colterenzio,,BOTTLE,2020,4500,,50,,St. Daniel Pinot Nero (Blauburgunder) Riserva,Colterenzio (Schreckbichl),wine_01gzr4kskv33cewkey32djev36,11193,35.955338
TRUE,,RED,Pinot Nero Franz Hass,Pinot Nero Franz Hass,,BOTTLE,2021,7000,,50,,Pinot Nero,Franz Haas,wine_01gzr4ksknmd61hkk9sxtdtzj7,15222,33.74255
TRUE,,RED,Pinot Nero Ludwig Elena Walch,Pinot Nero Ludwig Elena Walch,,BOTTLE,2020,7800,,50,,Ludwig Pinot Nero,Elena Walch,wine_01gzr4kt163y4xhj4xhmpssq3w,,55.236656
TRUE,,RED,"Cabernet ""Istrice"" Elena Walch","Cabernet ""Istrice"" Elena Walch",,BOTTLE,2020,4900,,50,,Cabernet Istrice,Elena Walch,wine_01gzr4kt16820wjbdg9fbdw024,,50.309513
TRUE,,RED,Lagrein Perl Cantina Bolzano,Lagrein Perl Cantina Bolzano,,BOTTLE,2021,3800,,50,,Lagrein Perl,Cantina Bolzano / Kellerei Bozen,wine_01h0my5rkh9wf5mefat3mtejex,,36.606884
TRUE,,RED,Lagrein Lindenburg Alois Lageder,Lagrein Lindenburg Alois Lageder,,BOTTLE,2019,6500,,50,,Lindenburg,Alois Lageder,wine_01h0my5rfe2x7jggx24wkac8xh,,49.396996
TRUE,,RED,Lagrein Dunkel Gries Cantina Terlano,Lagrein Dunkel Gries Cantina Terlano,,BOTTLE,2020,5500,,50,,Lagrein Riserva Gries,Terlan (Terlano),wine_01gzr4ksn5yach7bbmsg2nehj3,1211120,46.986843
TRUE,,RED,Lagrain Taber Cantina Bolzano,Lagrain Taber Cantina Bolzano,,BOTTLE,2020,9000,,50,,Lagrein Riserva Taber,Cantina Bolzano / Kellerei Bozen,wine_01h0my5rkg9tcrx4kt4gktkckn,,36.79338
TRUE,,RED,Merlot Antiope Morandell,Merlot Antiope Morandell,,BOTTLE,2022,4000,,50,,Antiope Merlot,Morandell,wine_01h0my5rkb9xpc0erc7n5bekdk,,40.399544
TRUE,,RED,Merlot Riserva Siebeneich Cantina Terlano,Merlot Riserva Siebeneich Cantina Terlano,,BOTTLE,2018,5500,,50,,Merlot Riserva Siebeneich,Terlan (Terlano),wine_01gzr4ksn5y4nmgm36x8hcwy1b,1277087,54.711952
