external_id,type,name_one,name_two,Stato,Zona,winery_name,vintage,size,price,cost,quantity,name,storage_area,info,internal_notes
8029710001116.0,WHITE,FRIULANO,NO NAME,FRIULI VENEZIA GIULIA,COF,LE VIGNE DI ZAMO,2021.0,BOTTLE,28,11.9,30.0,FRIULANO NO NAME,,,Purchase Price: 11.9
98089678567.0,WHITE,FRIULANO,RONCO DELLA CHIESA,FRIULI VENEZIA GIULIA,COLLIO,BORGO DEL TIGLIO,2021.0,BOTTLE,110,42.0,6.0,FRIULANO RONCO DELLA CHIESA,,,Purchase Price: 42.0
8054729320019.0,WHITE,FRIULANO,RONCO DELLE CIME,FRIULI VENEZIA GIULIA,COLLIO,VENICA,2022.0,BOTTLE,38,17.0,6.0,FRIULANO RONCO DELLE CIME,,,Purchase Price: 17.0
987545678.0,WHITE,FRIULANO,SAN LORENZO,FRIULI VENEZIA GIULIA,COLLIO,I CLIVI,2021.0,BOTTLE,28,9.9,12.0,FRIULANO SAN LORENZO,,,Purchase Price: 9.9
9807867364.0,WHITE,FRIULANO,SUBISA23,FRIULI VENEZIA GIULIA,COLLIO,DUE DEL MONTE,2018.0,BOTTLE,45,19.95,6.0,FRIULANO SUBISA23,,,Purchase Price: 19.95
8018099042186.0,,GATTINARA,GATTINARA,PIEMONTE,GATTINARA,CONTERNO\NERVI,2018.0,BOTTLE,80,30.0,1.0,GATTINARA GATTINARA,,,Purchase Price: 30.0
8018099042193.0,,GATTINARA,GATTINARA,PIEMONTE,GATTINARA,CONTERNO\NERVI,2019.0,BOTTLE,90,35.0,5.0,GATTINARA GATTINARA,,,Purchase Price: 35.0
8796756.0,,GATTINARA,GATTINARA,PIEMONTE,GATTINARA,TRAVAGLINI,,MAGNUM,45,19.0,5.0,GATTINARA GATTINARA,,,Purchase Price: 19.0
8033406220309.0,,GATTINARA,TRE VIGNE,PIEMONTE,GATTINARA,TRAVAGLINI,2018.0,BOTTLE,75,24.0,3.0,GATTINARA TRE VIGNE,,,Purchase Price: 24.0
8018099052185.0,,GATTINARA,VIGNA VALFERRANA,PIEMONTE,GATTINARA,CONTERNO\NERVI,2018.0,BOTTLE,155,70.0,6.0,GATTINARA VIGNA VALFERRANA,,,Purchase Price: 70.0
