ok,external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
TRUE,8767564563454,SPARKLING,CHAMPAGNE BRUT NAURE ZERO,TARLANT,,BOTTLE,,85,,1,Purchase Price: 39.0,Zero Brut Nature Champagne,Tarlant,wine_01gzr4ksn6ecbq7whxpq5see53,1177703,40.972652
TRUE,3114080404355,SPARKLING,CHAMPAGNE COLLECTIO 243,LOUIS ROEDERER,,BOTTLE,,90,,6,Purchase Price: 45.0,Collection 243 Champagne,Louis Roederer,wine_01gzr4ks5tefbv8mz37yrb2ndk,10283576,50.81253
TRUE,97656777,SPARKLING,CHAMPAGNE CONTRÈE NOIR EB,BROCARD PIERRE,,BOTTLE,2015,90,,1,Purchase Price: 45.0,Contrée Noire Extra Brut Champagne,Brocard Pierre,wine_01h4pmmfcy26b1d3jk8a67pzvm,,40.028107
FALSE,3114080701454,SPARKLING,CHAMPAGNE CRISTAL,VEUVE CLICQUOT,,BOTTLE,2014,350,,2,Purchase Price: 145.0,Rich Champagne,Veuve Clicquot,wine_01gzr4ks5v5z8crgkpzj6m4nwm,5610986,39.416782
TRUE,897867564534,SPARKLING,CHAMPAGNE CUVÈE 746 EB,JAQUESSON,,BOTTLE,,120,,3,Purchase Price: 50.0,Cuvée No 746 Extra Brut Champagne,Jacquesson,wine_01h4pmmfdg7tddsmbdd3hscyf4,,35.638344
TRUE,8787783983879,SPARKLING,CHAMPAGNE GRAN CRU V.P.,EAGLY-OURIET,,BOTTLE,2014,190,,2,Purchase Price: 90.0,V.P Champagne Grand Cru ''Ambonnay'',Egly-Ouriet,wine_01h4pmmgjjrjegjn1ydd4f7a07,,54.350685
TRUE,87654758978,SPARKLING,CHAMPAGNE GRAND CRU,EAGLY-OURIET,,BOTTLE,2017,160,,4,Purchase Price: 68.0,Champagne Extra Brut Grand Cru,Egly-Ouriet,wine_01h4pmmff782ryqv710jecfqq4,,48.14828
TRUE,8978965,SPARKLING,CHAMPAGNE GRAND CRU,FRANCOIS SECONDE,,BOTTLE,,75,,6,Purchase Price: 27.95,Brut Champagne Grand Cru ''Sillery'',François Secondé,wine_01h4pmmgjm3mteh0qq7cmvs93a,,40.185066
TRUE,,SPARKLING,CHAMPAGNE GRAND CRU BRUT,FRANCOIS SECONDE,,MAGNUM,,160,,3,Purchase Price: 75.0,Brut Champagne Grand Cru ''Sillery'',François Secondé,wine_01h4pmmgjm3mteh0qq7cmvs93a,,42.657227
TRUE,,SPARKLING,CHAMPAGNE GRAND MILLESIME BRUT,PAUL BARA,,BOTTLE,2016,90,,1,Purchase Price: 36.5,Millesimé Brut Champagne Grand Cru ''Bouzy'',Paul Bara,wine_01h0my5shc0hay6g40y0tx5wt7,,46.11853
TRUE,3353211012216,SPARKLING,CHAMPAGNE GRANDE RESERVE BRUT,GOSSET,,BOTTLE,,80,,3,Purchase Price: 35.0,Grande Réserve Brut Champagne,Gosset,wine_01h0f3cmbm75yr9fd6x5zw9k1k,,39.2248
TRUE,3049614176814,SPARKLING,CHAMPAGNE LA GRAND DAME,VEUVE CLICQUOT,,BOTTLE,2018,250,,1,Purchase Price: 120.0,La Grande Dame Brut Champagne,Veuve Clicquot,wine_01gzr4ks5tt4506w79jjj5t50v,79836,49.858006
TRUE,347275267252626,SPARKLING,CHAMPAGNE LATITUDINE,LARMANDIER-BERNIER,,BOTTLE,,100,,3,Purchase Price: 45.0,Latitude Extra Brut Champagne,Larmandier-Bernier,wine_01gzr4ktqd01dh5ccgq479h0k5,,53.49641
TRUE,8978654567,SPARKLING,CHAMPAGNE LES PARCELLES GRAND CRU EB,PIERRE PAILLARD,,BOTTLE,,90,,3,Purchase Price: 40.0,Bouzy Grand Cru Les Parcelles Extra Brut,Pierre Paillard,wine_01gzr4ksvcrt1yyxcknkzrsdpd,5260267,39.828384
TRUE,778633638378,SPARKLING,CHAMPAGNE LES TERRES FINE B\B PREMIER CRU EB,DHONT-GRELLET,,BOTTLE,,130,,2,Purchase Price: 62.0,Les Terres Fines Blanc de Blancs Extra Brut Champagne Premier Cru,Dhondt-Grellet,wine_01h0sq47yf1taam9jcrwccy5cy,,52.95129
TRUE,478794879489,SPARKLING,CHAMPAGNE LES VIGNES DE VRIGNY,EAGLY-OURIET,,BOTTLE,2018,100,,1,Purchase Price: 56.0,Les Vignes de Vrigny Brut Champagne Premier Cru,Egly-Ouriet,wine_01h0f3cmbqng4amtz0kpnz4zte,,52.1982
TRUE,980789656,SPARKLING,CHAMPAGNE LONGITUTUDE 1CRU B\B,LARMANDIER-BERNIER,,BOTTLE,,100,,6,Purchase Price: 54.0,Longitude Blanc de Blancs Champagne Premier Cru,Larmandier-Bernier,wine_01gzr4ktqd689j5znds22mzw1x,,53.08545
TRUE,98765456,SPARKLING,CHAMPAGNE PREMIER CRU BRUT,AUBRY,,BOTTLE,,70,,1,Purchase Price: 25.0,Brut Champagne Premier Cru,Aubry,wine_01h0f3cmbpjnvgep4sy88f0ner,,40.535324
TRUE,3260923020128,SPARKLING,CHAMPAGNE SIR WINSTON CHURCHILL,POL ROGER,,BOTTLE,2012,300,,1,Purchase Price: 140.0,Sir Winston Churchill Brut Champagne,Pol Roger,wine_01gzr4kscbzga5159ds831sygw,1692390,57.19512
TRUE,3052853075909,SPARKLING,CHAMPAGNE SPECIAL CUVÈE,BOLLINGER,,BOTTLE,,90,,3,Purchase Price: 42.0,Special Cuvée Brut Aÿ Champagne,Bollinger,wine_01gzr4ks77wsdabt6vnn27vs4y,18929,37.069775
TRUE,2545224467,SPARKLING,CHAMPAGNE VINTAGE 13 EB,BILLECART-SALMON,,BOTTLE,2013,120,,1,Purchase Price: 60.0,Vintage Champagne,Billecart-Salmon,wine_01gzr4ks644bckwegyxjermh07,1319243,51.378998
TRUE,3114080501559,SPARKLING,CHAMPAGNE VINTAGE 15,LOUIS ROEDERER,,BOTTLE,2015,120,,6,Purchase Price: 65.0,Brut Champagne (Vintage),Louis Roederer,wine_01gzr4ks5t7p7ng1aajb3qfwpn,5810903,43.136795
TRUE,,WHITE,CHARDONNAY AUXEY-DURESSES 1CRU,DOMAINE ROY,,BOTTLE,2019,95,,2,Purchase Price: 0.0,Auxey-Duresses 1er Cru ''Le Val'' Blanc,Roy,wine_01hcwsykdpjhr05fs42h5540ed,,31.885046
TRUE,754345365742,WHITE,CHARDONNAY BOURGOGNE,DUBREUIL-FONTAINE,,BOTTLE,2019,55,,2,Purchase Price: 18.0,Bourgogne Chardonnay,Domaine Dubreuil-Fontaine,wine_01h0qzm1d0bjejg1b7jk75yqja,,38.887157
TRUE,98646788,WHITE,"CHARDONNAY CHASSAGNE-MONTRACET 1CRU ""MORGEOT""",JEAN-CLAUDE RAMONET,,BOTTLE,2020,400,,1,Purchase Price: 0.0,Chassagne-Montrachet Premier Cru ''Morgeot'' Blanc,Jean-Claude Ramonet,wine_01h0qsxn6868qwsbranrebacr0,,49.110115
TRUE,9.09E+017,WHITE,CHARDONNAY CHASSAGNE-MONTRACET 1CRU LES CHENOVETTES,PHILIPPE COLIN,,BOTTLE,2021,140,,1,Purchase Price: 0.0,Chassagne-Montrachet Premier Cru ''Les Chenevottes'',Philippe Colin,wine_01gzr4ktjwp1p9p66nga38wn7x,,43.950264
TRUE,87675645,WHITE,CHARDONNAY HAUTES-COTES DE NUITS,GUY & YVAN DUFOULEUR,,BOTTLE,2019,50,,3,Purchase Price: 20.0,Bourgogne Hautes Cotes de Nuits Blanc,Guy & Yvan Dufouleur,wine_01h4pmmgww35thmf7a3w68b60x,,53.862637
TRUE,798695864756,WHITE,"CHARDONNAY MERSAULT ""LES GRANDS CHARRONS""",MICHEAL BOUZEREAU,,BOTTLE,2021,125,,1,Purchase Price: 0.0,Meursault ''Les Grands Charrons'',Michel Bouzereau,wine_01harvckxxh7e4egjzfbhg59sq,,48.372818
TRUE,97895546,WHITE,"CHARDONNAY MERSAULT 1CRU ""BLAGNY""",FAIVELEY,,BOTTLE,2020,160,,1,Purchase Price: 75.0,Meursault 1er Cru ''Blagny'' Blanc,Domaine Faiveley,wine_01gzr4ktjsysn1w9rce8fyvr4r,,28.395945
TRUE,,WHITE,CHARDONNAY PULIGNY-MONTRACET,ETIENNE SAUZET,,BOTTLE,2020,130,,1,Purchase Price: 0.0,Puligny-Montrachet,Etienne Sauzet,wine_01h0my5rnc7086dzxdm6vtjr80,,51.212746
TRUE,767465454323,WHITE,"CHARDONNAY PULIGNY-MONTRACET 1CRU ""LA GARENNE""",FAIVELEY,,BOTTLE,2019,180,,1,Purchase Price: 95.0,Puligny-Montrachet 1er Cru La Garenne,Domaine Faiveley,wine_01gzr4ktjsv373tpe7f59kr6y3,,37.3826
TRUE,,WHITE,CHARDONNAY PULIGNY-MONTRACET 1CRU LES FOLATIERES,BACHELET-MONNOT,,BOTTLE,2021,280,,1,Purchase Price: 0.0,Puligny-Montrachet 1er Cru ''Les Folatières'',Bachelet-Monnot,wine_01hfxnejhcqj49yrcec1rae9pp,,55.045097
TRUE,8032625754480,WHITE,CHARDONNAY VIE DI ROMANS,VIE DI ROMANS,,BOTTLE,2021,45,,6,Purchase Price: 18.8,Chardonnay,Vie di Romans,wine_01gzr4ksk5r72dexa5watpkkvw,1084872,36.356144
TRUE,8053676061174,WHITE,DOLCE ESSENZIA,POJER E SANDRI,,BOTTLE,2019,40,,6,Purchase Price: 16.2,Essenzia Dolomiti,Pojer e Sandri,wine_01gzr4ksehqz4qz7ra0dqmk7f6,1224598,45.667435
TRUE,879654,WHITE,FRIULANO BIANCO DI MITJIA,AZ AGR MITJIA SIRK,,BOTTLE,2022,28,,6,Purchase Price: 10.25,Bianco,Mitja Sirk,wine_01havwee49w0q7qcfsaamnq7nm,,48.3982
TRUE,,WHITE,FRIULANO CÀ SAVORGNAN,AZ AGR MITJIA SIRK,,BOTTLE,2021,50,,6,Purchase Price: 21.62,Ca`Savorgnan,Mitja Sirk,wine_01hfxnejhrpdtfgmraaswzp5mq,,57.876972
FALSE,897896546,WHITE,FRIULANO FRIULANO,I CLIVI,,BOTTLE,2022,28,,36,Purchase Price: 10.0,San Pietro Friulano,I Clivi,wine_01gzr4ksp38dcgetj42nrrwjgr,1434517,43.04336
TRUE,89078967546767,WHITE,FRIULANO FRIULANO,RONCHI DI CIALLA,,BOTTLE,2022,28,,52,Purchase Price: 11.5,Friulano,Ronchi di Cialla,wine_01h0qzm19s9arnnqxw6pzcgc6z,,54.012375
TRUE,587957569875957,WHITE,FRIULANO FRIULANO,BORGO DEL TIGLIO,,BOTTLE,2021,45,,12,Purchase Price: 20.9,Collio Friulano,Borgo del Tiglio,wine_01h0my5svsee18011461an21tz,,47.180557
TRUE,89789678566,WHITE,FRIULANO FRIULANO,DUE DEL MONTE,,BOTTLE,2020,38,,6,Purchase Price: 14.95,Friulano,Due del Monte,wine_01h4pmmfqdmkad6mrfd6fk5xqf,,39.04411
