external_id,type,name_one,name_two,Stato,Zona,winery_name,vintage,size,price,cost,quantity
,RED,ROSSO,1GRAN CRU CLASSÈ,FRANCIA,BORDEAUX SAINT-EMILION,CHATEAU PAVIE,2016,"0,75",500,320,1
8033324031629,RED,ROSSO,BLAU & BLAU,FRIULI VENEZIA GIULIA,COLLIO,JERMAN,2021,"0,75",33,13.5,35
78657647578697,RED,ROSSO,CHATEAUNEUF-DU-PAPE MONT-REDON,FRANCIA,CHATEAUNEUF-DU-PAPE,FAMILLE ABEILLE-FABRE,2020,"0,75",95,36.9,3
3359950361011,RED,ROSSO,COTE-ROTIE,FRANCIA,RODANO,DELAS,2020,"0,75",140,70,3
3359950375384,RED,ROSSO,COTES-DU-RHONE,FRANCIA,RODANO,DELAS,2021,"0,75",32,10.5,18
3359950358738,RED,ROSSO,CROZES-HERMITAGE,FRANCIA,RODANO,DELAS,2020,"0,75",120,48.5,3
141414,RED,ROSSO,ELLITTICO,FRANCIA,BANYULS SUR MER,MANUEL DI VECCHI STARAZ,2014,"0,75",60,0,1
,RED,ROSSO,ETNA ROSSO,SICILIA,ETNA,FEDERICO GRAZIANI,2021,"0,75",0,0,60
8032568161086,RED,ROSSO,LA MASSA,TOSCANA,CHIANTI,TENUTA LA MASSA,2020,"0,75",35,14.9,6
8437008512341,RED,ROSSO,LAS QUADRAS,SPAGNA,COSTERS DEL SEGRE,MOLI DE TAFALLA,2020,"0,75",28,11,36
8033196491736,RED,ROSSO,LE PERGOLE TORTE,TOSCANA,CHIANTI,MONTEVERTINE,2020,"0,75",250,85,6
8033196491743,RED,ROSSO,LE PERGOLE TORTE,TOSCANA,CHIANTI,MONTEVERTINE,2020,MG,500,230,1
800431276004,RED,ROSSO,MERLOT\CABERNET RIS,ITALIA,ALTO ADIGE,ST MICHAEL-EPPAN,2020,"0,75",32,13.2,6
8033196491774,RED,ROSSO,MONTEVERTINE,TOSCANA,CHIANTI,MONTEVERTINE,2020,"0,75",90,36,6
,RED,ROSSO,PASSO PISCIARO,SICILIA,ETNA,FRANCHETTI,2012,"0,75",55,0,1
8033196491804,RED,ROSSO,PIAN DEL CIAMPOLO,TOSCANA,CHIANTI,MONTEVERTINE,2021,"0,75",50,16.5,6
