type,name,size,vintage,winery,qty,purchase_price_eur,sales_price_eur
RED,Blauburg. Ris. Matan,,2019,Pfitscher,10, 30.00 € ,69
RED,Blauburgunder Ris. Pinot Noir,,2017,Wildmon,1, 45.00 € ,82
RED,Blauburgunder Ris. Pinot Noir,,2019,,3,,82
RED,Blauburgunder Riserva    wein.werk,,2021,Prackfolerhof,33, 19.40 € ,49
RED,Blauburgunder Riserva Mag   wein.werk,,2019,Prackfolerhof,3, 41.00 € ,98
RED,Blauburgunder Skytos,,2016,Ansitz Dolomytos,20, 24.00 € ,55
RED,Blauburg. Riserva TWC (The Wine Collection),,2018,St.Michael Eppan,5, 91.90 € ,175
RED,,,,,,,
RED,Vino rosso d’Italia – Rotwein aus Italien,,,,,,
RED,La Quadratura – Winecircus,,2018,Roberto Cipresso,2, 14.00 € ,41
RED,(Montepulciano – Sangiovese – Sagrantino),,,,,,
RED,Pigreco,,2019,Roberto Cipresso,12, 9.10 € ,36
RED,(San Giovese 100%),,,,,,
RED,,,,,,,
RED,Trentino – Trient,,,,,,
RED,Moratel IGT Bio,,2018,Cesconi,10, 11.20 € ,35
RED,"(Lagrein, Teroldego, Merlot, Cabernet)",,,,,,
RED,Moratel IGT Bio,,2019,,12,,
RED,Moratel IGT Bio - Magnum,MAGNUM,2016,,2, 22.90 € ,70
RED,Teroldego BIO,,2022,Foradori,15, 13.80 € ,40
RED,San Leonardo,,2015,Ten. S. Leonardo,3, 40.00 € ,129
RED,"(Cabernet Sauvignon, Merlot, Carménère)",,,,,,
RED,San Leonardo,,2018,Ten. S. Leonardo,7, 55.00 € ,120
RED,San Leonardo,,2019,Ten. S. Leonardo,13, 58.00 € ,118
RED,San Leonardo MAG,MAGNUM,2019,Ten. S. Leonardo,3, 128.00 € ,245
RED,Toscana – Toskana,,,,,,
RED,Chianti Classico DOCG BIO,,2020,Poggio al sole,9, 11.90 € ,35
RED,Chianti Classico DOCG Bio Mag,MAGNUM,2020,Poggio al sole,1, 25.90 € ,68
RED,Chianti Classico DOCG,,2021,Riecine,10, 15.80 € ,41
RED,Rosso di Montalcino,,2022,Talenti,36, 11.20 € ,35
RED,Rosso di Montalcino - MAG,MAGNUM,2022,,10, 23.00 € ,70
RED,Rosso di Montalcino,,2022,Valdicava,17, 21.10 € ,54
RED,Brunello di Montalcino,,2017,Patrizia Cencioni,8, 26.00 € ,71
RED,Brunello di Montalcino,,2016,La Fiorita,2, 31.00 € ,67
RED,,,2015,,3,,
RED,,,2017,,1,,
RED,Hebo,,2020,Petra,23, 11.60 € ,36
RED,(Merlot-Sangiovese-Cab.Sauv),,,,,,
RED,Hebo,,2022,,6,,
