external_id,size,name,winery_name,vintage,supplier,purchase_price,price,retail_price,glass_price,quantity
116,BOTTLE,Riesling ,Weingut Hochklaus,2021,Hochklaus, 19.50 € , 54.00 € , 39.25 € , € 9.00 ,37
117,BOTTLE,Sauvignon Voglar ,Weingut Peter Dipoli,2020,FW, 15.50 € , 45.00 € , 31.20 € , € 7.50 ,11
118,BOTTLE,Sauvignon St. Valentin ,Kellerei St. Michael Eppan,2020,WD, 17.70 € , 51.00 € , 35.63 € , € 8.50 ,4
119,BOTTLE,Sauvignon Lafoà,Kellerei Schreckbichl,2021,Schreckbichl, 18.90 € , 54.00 € , 38.05 € , € 9.00 ,14
120,BOTTLE,Sauvignon,Weingut Wassererhof,2020,O, 10.90 € , 41.00 € , 21.94 € , € 6.83 ,16
121,BOTTLE,Sauvignon Riserva,Weingut Wassererhof,2019,O, 23.86 € , 57.00 € , 48.03 € , € 9.50 ,4
122,BOTTLE,Sauvignon Private reserve,Weingut Falkenstein,2012,FW, 15.70 € , 55.00 € , 31.60 € , € 9.17 ,7
123,BOTTLE,Sauvignon Rachtl,Kellerei Tiefenbrunner,2018,FW, 35.00 € , 83.00 € , 70.46 € , € 13.83 ,2
124,BOTTLE,Sauvignon Lieben Aich,Manincor,2020,Karner, 43.24 € , 92.00 € , 87.04 € , € 15.33 ,6
125,BOTTLE,Sauvignon Quarz,Kellerei Terlan ,2020,Karner, 36.00 € , 85.00 € , 72.47 € , € 14.17 ,10
127,BOTTLE,Sauvignon Oberberg,Weingut Kornell,2020,Karner, 19.90 € , 56.00 € , 40.06 € , € 9.33 ,18
128,BOTTLE,Sauvignon Tasnim Bio,Weingut Loacker,2019,WD, 11.80 € , 41.00 € , 23.75 € , € 6.83 ,8
129,BOTTLE,Cosmas,Weingut Kornell,2022,Karner, 9.90 € , 37.00 € , 19.93 € , € 6.17 ,44
131,BOTTLE,Sauvignon Mathias,Weingut Pfitscher,2019,WD, 24.00 € , 59.00 € , 48.31 € , € 9.83 ,5
132,BOTTLE,Gewürztraminer Selida,Kellerei Tramin,2022,FW, 9.90 € , 35.00 € , 19.93 € , € 5.83 ,-1
133,BOTTLE,Gewürztraminer Nussbaumer,Kellerei Tramin,2021,WD, 19.90 € , 60.00 € , 40.06 € , € 10.00 ,11
134,BOTTLE,Gewürztraminer  Orange,Schloss Englar,2020,FW, 13.00 € , 42.00 € , 26.17 € , € 7.00 ,14
135,BOTTLE,Gewürztraminer Upupa Orange,Martin Abraham,2020,WD, 19.90 € , 55.00 € , 40.06 € , € 9.17 ,4
136,BOTTLE,Gewürztraminer Riserva Exilissi,Baron di Pauli,2018,FW, 23.40 € , 59.00 € , 47.10 € , € 9.83 ,7
137,BOTTLE,Gewürztraminer Tardus,Schlosskellerei Tiefenbrunner,2019,FW, 22.35 € , 58.00 € , 44.99 € , € 9.67 ,18
138,BOTTLE,Gewürztraminer St. Valentin,Kellerei St. Michael Eppan,2021,WD, 19.10 € , 54.00 € , 38.45 € , € 9.00 ,17
