ok,external_id,type,name,winery_name,area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score,,
TRUE,,SPARKLING,OUVERTURE EXTRA BRUT PREMIER CRU,FREDERIC SAVART,,MAGNUM,,280,,,,L''Ouverture Extra Brut Champagne Premier Cru,Savart,wine_01h4pmmgkh5w9qarvcftc8ybx8,,45.32273,,
TRUE,,SPARKLING,BRUT PREMIER CRU,GASTON CHIQUET,,BOTTLE,,150,,,,Or Brut Champagne Premier Cru,Gaston Chiquet,wine_01gzr4ksc92vy7pe7s4fhq3j6s,1546455,48.552788,,
TRUE,,SPARKLING,AY BLANC DE BLANCSGRAND CRU,GASTON CHIQUET,1-2,BOTTLE,2013,150,,,,Blanc de Blancs Brut Champagne Grand Cru ''Aÿ'',Gaston Chiquet,wine_01gzr4ksc93gshb9ysern8935m,97846,46.781563,,
TRUE,,SPARKLING,BRUT GRAND CRU SPECIAL CLUB,GASTON CHIQUET,1-2,BOTTLE,2014,130,,,,Spécial Club Brut Champagne,Gaston Chiquet,wine_01gzr4ksc9yq8kbbtmbxvhnd7p,1245263,54.39254,,
TRUE,,SPARKLING,BRUT ROSE' PREMIER CRU,GASTON CHIQUET,1-2,BOTTLE,,130,,,,Brut Rosé Champagne Premier Cru,Gaston Chiquet,wine_01gzr4ksc9nv6yv79dv69fxaeq,97849,50.51529,,
TRUE,,SPARKLING,TRADITION BRUT PREMIER CRU,GASTON CHIQUET,1-2,BOTTLE,,90,,,,Tradition Brut Champagne 1er Cru,Gaston Chiquet,wine_01gzr4ksc94zy3dc52zya8nafq,97845,49.202473,,
TRUE,,SPARKLING,BRUT NATURE PREMIER CRU,GEORGES LAVAL,1-2,BOTTLE,2020,230,,,,Cumières Brut Nature Champagne Premier Cru,Georges Laval,wine_01h4pmmgg5x3xh4ee8x4m2w9kk,,49.114727,,
TRUE,,SPARKLING,EXTRA BRUT ROSE’ PREMIER CRU,GONET MÉDEVILLE,1-3,BOTTLE,,145,,,,Extra Brut Rosé Champagne Premier Cru,Gonet-Médeville,wine_01h4pmmfcxf8gzb7br6ffa8rr3,,53.958878,,
TRUE,,SPARKLING,CRAMANT BLANC DE BLANC EXTRA BRUTGRAND CRU,GUY LARMANDIER,1,BOTTLE,,120,,,,Blanc de Blancs Brut Champagne Grand Cru ''Cramant'',Guy Larmandier,wine_01h0qzm2vdanmrda67kg8mhy65,,50.439323,,
TRUE,,SPARKLING,CUVEE PREMIER CRU,GUY LARMANDIER,1,BOTTLE,,110,,,,Brut Champagne Premier Cru,Guy Larmandier,wine_01h0qzm2vdb5wxdwrspf4nygdk,,43.73604,,
TRUE,,SPARKLING,INITIAL BLANC DE BLANCS GRAND CRU,JACQUES SELOSSE,,BOTTLE,,450,,,,Initial Blanc de Blancs Brut Champagne Grand Cru ''Avize'',Jacques Selosse,wine_01gzr4ktsdjr7edgveykk4hs4s,,54.340942,,
TRUE,,SPARKLING,GRAND CUVEE 170ma EDITION,KRUG,1-5,BOTTLE,,380,170th Edition,,,Grande Cuvée,Krug,wine_01gzr4ks7h5x1nhhc1jnbgbg29,7122486,28.168293,,
TRUE,,SPARKLING,ROSE’ DE SAIGNEE’ EXTRA BRUT LES BEAUDIERS,LAHERT FRÈRES,2-1,BOTTLE,2021,75.64,,,,Les Beaudiers Rosé de Saignée Vieilles Vignes de Pinot Meunier Extra-Brut Champagne,Laherte Freres,wine_01h4pmmfcxhvt6at5k6x2e8ne9,,46.9127,,
TRUE,,SPARKLING,TERRE D’ETOILES BRUT GRAND CRU MAGNUM,LAMIABLE,1-4,MAGNUM,,210,,,,Terre d''Etoiles Brut Champagne Grand Cru,Lamiable,wine_01h4pmmgjm9j9eztxvcvgyan7e,,43.379475,,
TRUE,,SPARKLING,TRADITION EXTRA BRUT,LELARGE PUGEOT,1-4,BOTTLE,,110,,,,Tradition Extra Brut Champagne Premier Cru,Lelarge-Pugeot,wine_01h4pmmfcvn2zes5d5f1wjadgh,,52.305595,,
TRUE,,SPARKLING,CRISTAL BRUT,LOUIS ROEDERER,1-3,BOTTLE,2014,400,,,,Cristal Brut Champagne (Millésimé),Louis Roederer,wine_01gzr4ks5tqthh4jv8natgmek8,74304,43.330616,,
TRUE,,SPARKLING,BLANC DE NOIR BRUT MILLESIME,MANDOIS,1-3,BOTTLE,2015,95,,,,Blanc de Noirs Brut Champagne,Mandois,wine_01h4pmmgnpad6pkhar90m30jzk,,36.60522,,
