ok,type,name,winery_name,area,size,vintage,price,info,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
TRUE,WHITE,CHABLIS,CHAUDE ECUELLE,3-1,BOTTLE,2020,60,,,Chablis,Domaine de Chaude Écuelle,wine_01h4pmmgx1x74krx32z2jc9f7q,,32.919834
TRUE,WHITE,BOURGOGNE ALIGOTE',CLOUS DU MOULIN AUX MOINES,3-1,BOTTLE,2021,60,,,Bourgogne Aligoté,Clos du Moulin Aux Moines,wine_01h0r2pq6c0mjgf9vt2n535czj,,50.649086
TRUE,WHITE,VIELLES VIGNES POULLYFUISSE’,DENIS JEANDEAU,,BOTTLE,2020,110,,,Vieilles Vignes Pouilly-Fuissé,Denis Jeandeau,wine_01h4pmmh15jn2hhmz95s2zknxc,,47.030327
TRUE,WHITE,BUISSON RENARD,DIDIER DAGUENEAU,,BOTTLE,2019,350,,,Buisson Renard,Didier Dagueneau (Louis-Benjamin Dagueneau),wine_01gzr4kst7bzg9z930ytz72je5,86698,52.02532
TRUE,WHITE,SILEX POULLY FUME’,DIDIER DAGUENEAU,,BOTTLE,2020,350,,,Silex,Didier Dagueneau (Louis-Benjamin Dagueneau),wine_01h4pmmh1bhkgv56mkpb55fbva,,43.241302
FALSE,WHITE,COTES DE PROVENCE TRADITION ROSE',DOMAIN HOUCHART,3-2,BOTTLE,2022,30,,,Antoine Côtes de Provence,Domaine Turenne,wine_01h0my5rmtte2k2c5b4d51bg5h,,16.860777
FALSE,WHITE,POULLYFUME' LA RENARDIERE,DOMAINE BOUCHIE',3-1,BOTTLE,2021,55,,,La Renardière Pouilly-Fumé,Bouchie-Chatellier,wine_01gzr4kst76d401vw3jr039vk5,1178896,34.43924
TRUE,WHITE,CHABLIS PREMIER CRU COTE DE LECHET,DOMAINE D’ELISE,,BOTTLE,2021,75,,,Chablis 1er Cru Cote de Lechet,Domaine d'Elise,wine_01h0qsxnxqbtc016ddc3g90vey,,44.54984
FALSE,WHITE,VOUVRAY SEC DE LES PROMENARDS,DOMAINE DE BEAUMONT,,BOTTLE,2020,65,,,Vouvray Sec,Domaine de Vaugondy,wine_01h4pmmh1s8f8htybanxr1vrxs,,25.537569
TRUE,WHITE,SANCERRE CHAVIGNOL BLANC,DOMAINE DELAPORTE,3-1,BOTTLE,2022,75,,,Sancerre Chavignol Blanc,Domaine Delaporte,wine_01gzr4ks6d2c3kd9m82dww8ncb,4359175,47.58203
TRUE,WHITE,BOURGOGNE CHARDONNAY,DOMAINE MIA,,BOTTLE,2020,80,,,Chardonnay,Domaine MIA,wine_01h4pmmh21h7mqp7zrm65h6xdy,,28.222609
TRUE,WHITE,BOURGOGNE CHARDONNAY,DOMAINE PHILIPPE CHAVY,,BOTTLE,2021,100,,,Bourgogne Chardonnay,Philippe Chavy,wine_01h0my5swekx5xwgz85dgzcxef,,41.00857
TRUE,WHITE,MERSAULT VIELLES VIGNES,DOMAINE PHILIPPE CHAVY,,BOTTLE,2021,230,,,Meursault,Philippe Chavy,wine_01h4pmmh2hpmjs6w9ce42q0ahj,,39.775436
TRUE,WHITE,CHABLIS PREMIER CRU COTE DE LECHET,DOMAINE SEBASTIEN DAMPT,3-1,BOTTLE,2021,90,,,Chablis 1er Cru ''Côte de Léchet'',Domaine Sébastien Dampt,wine_01h4pmmh2mt8h1e642h62ehtka,,52.14523
TRUE,WHITE,CHABLIS SÉLECTION MASSALE,DOMAINE SERVIN,,BOTTLE,2020,80,,,Vieilles Vignes Sélection Massale Chablis,Domaine Servin,wine_01gzr4ksq0pqsx6g5wk9essty6,1189446,42.30435
