external_id,type,name_1,name_2,name_3,internal_notes,vintage,info,bottle_price,magnum_price,demi_price,bottle_qty,magnum_qty,demi_qty,purchase_price,to_archive
195,WHITE,Pinot blanc ,Kellerei Terlan,VORBERG RISERVA,,2007,, 85.00 € ,,,7,,,,
,WHITE,Pinot blanc ,Kellerei Terlan,RARITAS,,2012,RARITAS,,,,7,,, 104.92 € ,
,WHITE,Pinot blanc ,Kellerei Terlan,RARITAS,,2011,,,,,4,,,,
,WHITE,Pinot blanc ,Kellerei Terlan,RARITAS,,2010,,,,,3,,,,
,WHITE,Pinot blanc ,Kellerei Terlan,RARITAS,,2009,,,,,3,,,,
,WHITE,Pinot blanc ,Kellerei Terlan,RARITAS,,2007,,,,,3,,,,
,WHITE,Pinot blanc ,Kellerei Terlan,RARITAS,,2006,,,,,5,,,,
195,WHITE,Pinot blanc ,Kellerei Terlan,RARITAS,,2005,, 185.00 € ,,,4,,,,
,WHITE,Pinot blanc ,Kellerei Terlan,RARITAS,,2004,,,,,5,,,,
,WHITE,Pinot blanc ,Kellerei Terlan,RARITAS,,1996,,,,,12,,,,
270,WHITE,Chardonnay,Kellerei Terlan,TRADITION,,2024,, 45.00 € ,,,30,,, 8.48 € ,
273,WHITE,Chardonnay,Kellerei Terlan,KREUTH,,2023,, 55.00 € ,,,36,,, 13.91 € ,
274,WHITE,Chardonnay,Kellerei St.Michael-Eppan,ST.VALENTIN,,2022,, 59.00 € ,,,58,,,,
278,WHITE,Chardonnay,Kellerei Kurtatsch,FREIENFELD,,2021,, 75.00 € ,,,137,,,,
279,WHITE,Chardonnay,Weingut Alois Lageder,LÖWENGANG,,2019,BIO, 95.00 € ,,,20,,,,
277,WHITE,Chardonnay,Weingut Tiefenbrunner,AU,,2020,, 120.00 € ,,,20,,,,
,WHITE,Chardonnay,Weingut Tiefenbrunner,AU, MAGNUNM ,2018,,,,,,4,,,
,WHITE,Chardonnay,Weingut Castelfeder ,KREUZWEG RISERVA,,2021,,,,,6,,,,
,WHITE,Chardonnay,Weingut Castelfeder ,KREUZWEG RISERVA,,2020,,,,,6,,,,
,WHITE,Chardonnay,Kellerei Tramin,TROY,,2021,,,,,12,,,,
,WHITE,Chardonnay,Kellerei Tramin,TROY,,2019,,,,,15,,,,
275,WHITE,Chardonnay,Kellerei Tramin,TROY,,2018,, 125.00 € ,,,6,,,,
,WHITE,Chardonnay,Kellerei Nals-Margreid,NAMA,,2020,,,,,6,,,,
271,WHITE,Chardonnay,Kellerei Nals-Margreid,NAMA,,2019,, 145.00 € ,,,4,,,,
,WHITE,Chardonnay,Kellerei Kaltern ,CASTEL VIOVANELLI,,2002,,,,,2,,,,
,WHITE,Chardonnay,Kellerei Terlan ,TRADITION ,,2015,,,,,1,,,,
,WHITE,Chardonnay,Kellerei Terlan ,TRADITION ,,2014,,,,,1,,,,
,WHITE,Chardonnay,Kellerei St.Michael-Eppan,ST.VALENTIN,,2022,RARITAS,,,,18,,,,
285,WHITE,Chardonnay,Kellerei St.Michael-Eppan,ST.VALENTIN,,2011,, 85.00 € ,,,3,,,,
,WHITE,Chardonnay,Kellerei Schreckbichl,FORMIGAR,,2007,RARITAS,,,,48,,,,
285,WHITE,Chardonnay,Kellerei Schreckbichl,FORMIGAR,,2006,, 85.00 € ,,,11,,,,
,WHITE,Chardonnay,Kellerei Schreckbichl,FORMIGAR,,2005,,,,,2,,,,
,WHITE,Chardonnay,Kellerei Schreckbichl,FORMIGAR,,2000,,,,,1,,,,
,WHITE,Chardonnay,Kellerei Schreckbichl,FORMIGAR,,1997,,,,,2,,,,
,WHITE,Chardonnay,Kellerei Terlan,KREUTH,,2023,RARITAS,,,,30,,,,
285,WHITE,Chardonnay,Kellerei Terlan,KREUTH,,2012,, 85.00 € ,,,0,,,,
285,WHITE,Chardonnay,Weingut Tiefenbrunner,LINTICLARUS,,2007,RARITAS, 95.00 € ,,,6,,,,
,WHITE,Chardonnay,Weingut Tiefenbrunner,LINTICLARUS,,1997,,,,,9,,,,
,WHITE,Chardonnay,Weingut Tiefenbrunner,LINTICLARUS,,1995,,,,,3,,,,
,WHITE,Chardonnay,Weingut Alois Lageder,LÖWENGANG,,2016,RARITAS,,,,18,,,,
,WHITE,Chardonnay,Weingut Alois Lageder,LÖWENGANG,,2011,,,,,47,,,,
,WHITE,Chardonnay,Weingut Alois Lageder,LÖWENGANG,,2009,,,,,11,,,,
,WHITE,Chardonnay,Weingut Alois Lageder,LÖWENGANG,,2008,,,,,17,,,,
285,WHITE,Chardonnay,Weingut Alois Lageder,LÖWENGANG,,2006,, 110.00 € ,,,15,,,,
285,WHITE,Chardonnay,Weingut Alois Lageder,LÖWENGANG INEDITO II,,,RARITAS, 145.00 € ,,,2,,,,
,WHITE,Chardonnay,Kellerei Terlan,RARITAS,,2003,RARITAS,,,,6,,,,
,WHITE,Chardonnay,Kellerei Terlan,RARITAS,,2000,,,,,12,,,,
,WHITE,Chardonnay,Kellerei Terlan,RARITAS,,1997,,,,,3,,,,
285,WHITE,Chardonnay,Kellerei Terlan,RARITAS,,1996,, 185.00 € ,,,3,,,,
,WHITE,Chardonnay,Kellerei Terlan,RARITAS,,1994,,,,,7,,,,
,WHITE,Chardonnay,Kellerei Terlan,RARITAS,,1990,,,,,3,,,,
201,WHITE,terlaner,Kellerei Terlan,KLASSISCH,,2023,, 49.00 € ,,,30,,,,
203,WHITE,terlaner,Kellerei Terlan,NOVA DOMUS,,2022, MAGNUNM , 79.00 € ,,,55,,, 27.18 € ,
203,WHITE,terlaner,Kellerei Terlan,NOVA DOMUS,,2022, MAGNUNM , 79.00 € ,,,,6,, 27.18 € ,
,WHITE,terlaner,Kellerei Terlan,NOVA DOMUS,,2021,RARITAS,,,,36,,,,
,WHITE,terlaner,Kellerei Terlan,NOVA DOMUS,,2019,,,,,1,,,,
,WHITE,terlaner,Kellerei Terlan,NOVA DOMUS,,2017,,,,,4,10,5,,
,WHITE,terlaner,Kellerei Terlan,NOVA DOMUS,,2016,,,,,18,,,,
