external_id,name,vintage,info,internal_notes,size,price,quantity
,Sauvignon blanc Weingut Gumphof RENNAISANCE,2018,,,BOTTLE,,1
250,Sauvignon blanc Kellerei Terlan QUARZ,2022,,,BOTTLE, 95.00 € ,72
,Sauvignon blanc Weingut Tiefenbrunner RACHTL,2021,,,BOTTLE,,6
,Sauvignon blanc Weingut Tiefenbrunner RACHTL,2019,,,BOTTLE,,30
251,Sauvignon blanc Weingut Tiefenbrunner RACHTL,2018,,,BOTTLE, 110.00 € ,32
253,Sauvignon blanc Weingut Kornell HERCULES,2020, ORANGE ,,BOTTLE, 110.00 € ,23
252,Sauvignon blanc Kellerei St.Michael-Eppan WINE COLLECTION,2019,,,BOTTLE, 145.00 € ,11
255,Sauvignon blanc Kellerei Girlan FLORA,2009,RARITAS,,BOTTLE, 65.00 € ,2
,Sauvignon blanc Kellerei St. Michael-Eppan ST. VALENTIN,2012,RARITAS,,BOTTLE,,13
,Sauvignon blanc Kellerei St. Michael-Eppan ST. VALENTIN,2010,,,BOTTLE,,22
,Sauvignon blanc Kellerei St. Michael-Eppan ST. VALENTIN,2009,,,BOTTLE,,10
,Sauvignon blanc Kellerei St. Michael-Eppan ST. VALENTIN,2008,,,BOTTLE,,17
255,Sauvignon blanc Kellerei St. Michael-Eppan ST. VALENTIN,2007,,,BOTTLE, 85.00 € ,38
,Sauvignon blanc Kellerei St. Michael-Eppan ST. VALENTIN,2006,,,BOTTLE,,3
,Sauvignon blanc Kellerei St. Michael-Eppan ST. VALENTIN,1999,,,BOTTLE,,1
,Sauvignon blanc Kellerei St. Michael-Eppan ST. VALENTIN,1998,,,BOTTLE,,1
,Sauvignon blanc Kellerei St. Michael-Eppan ST. VALENTIN,1997,,,BOTTLE,,3
255,Sauvignon blanc Kellerei Terlan QUARZ,2021,RARITAS,,BOTTLE, 110.00 € ,19
255,Sauvignon blanc Kellerei Terlan QUARZ,2021,RARITAS,,MAGNUM, 140.00 € ,1
,Sauvignon blanc Kellerei Terlan QUARZ,2020,,,BOTTLE,,2
,Sauvignon blanc Kellerei Terlan QUARZ,2020,,,MAGNUM,,4
,Sauvignon blanc Kellerei Terlan QUARZ,2019,,,MAGNUM,,13
,Sauvignon blanc Kellerei Terlan QUARZ,2018,,,HALF_BOTTLE,,1
255,Sauvignon blanc Stiftskellerei Neustift PRAEPOSITUS,2007,RARITAS,,BOTTLE, 110.00 € ,15
,Sauvignon blanc Kellerei Schreckbichl LAFOA,2006,RARITAS,,BOTTLE,,4
,Sauvignon blanc Kellerei St. Pauls PASSION,2014,RARITAS,,BOTTLE,,2
,Sauvignon blanc Kellerei St. Pauls PASSION,2009,,,BOTTLE,,4
,Sauvignon blanc Kellerei St. Pauls PASSION,2007,,,BOTTLE,,8
,Sauvignon blanc Kellerei Terlan  WINKL,2022,RARITAS,,BOTTLE,,30
,Sauvignon blanc Kellerei Terlan  WINKL,2020,,,BOTTLE,,3
,Sauvignon blanc Kellerei St. Pauls GFILL,2010,RARITAS,,BOTTLE,,3
,Sauvignon blanc Kellerei St. Pauls GFILL,2007,,,BOTTLE,,5
,Sauvignon blanc Kellerei Laimburg  OYELL,2006,RARITAS,,BOTTLE,,6
263,Pinot Gris Weingut Elena Walch,2024,,,BOTTLE, 45.00 € ,36
262,Pinot Gris Weingu Stachelburg WOLFSTHURM,2023,BIO,,BOTTLE, 55.00 € ,20
265,Pinot Gris Kellerei St.Michael-Eppan ST.VALENTIN,2022,,,BOTTLE, 59.00 € ,30
,Riesling ? STEIN,2018,,,BOTTLE,,10
302,Riesling Weingut Unterortl ?? GLETSCHERSCHLIFF,2023,,,BOTTLE, 45.00 € ,16
,Riesling Weingut Castel Juval ?? UNTERORTL,2010,, MAGNUNM ,MAGNUM, 95.00 € ,1
303,Riesling Weingut Pacherhof EISACKTAL,2023,,,BOTTLE, 50.00 € ,16
304,Riesling Weingut Keller KPK LIMESTONE,2020,,,BOTTLE, 49.00 € ,14
,Riesling Weingut Schloss Johannisberg  GROSSES GEWÄCHS,2009,, MAGNUNM ,MAGNUM, 115.00 € ,2
,Riesling Weingut Van Volxem  ALTE REBE,2010,, MAGNUNM ,MAGNUM, 115.00 € ,1
,Riesling Weingut Köfererhof,2007,RARITAS,,BOTTLE,,8
308,Riesling Weingut Köfererhof,2005,,,BOTTLE, 65.00 € ,8
308,Riesling Weingut Kuenhof KAITON,2006,RARITAS,,BOTTLE, 65.00 € ,8
,Riesling Weingut Kuenhof KAITON,2004,,,BOTTLE,,4
,Riesling Weingut Falkenstein VINSCHGAU,2009,RARITAS,,MAGNUM, 95.00 € ,6
308,Riesling Weingut Falkenstein VINSCHGAU,2007,,,BOTTLE, 65.00 € ,7
,Riesling Stiftskellerei Neustift PRAEPOSITUS,2010,RARITAS,,BOTTLE,,4
308,Riesling Stiftskellerei Neustift PRAEPOSITUS,2008,,,BOTTLE, 65.00 € ,1
,Kerner Weingut Pacherhof,2023,,,BOTTLE,,18
311,Kerner,2021,,,BOTTLE, 50.00 € ,6
315,Kerner Stiftskellerei Neustift KLASSISCH,2007,RARITAS,,BOTTLE, 65.00 € ,7
,Kerner Stiftskellerei Neustift PRAEPOSITUS,2007,RARITAS,,BOTTLE,,5
315,Kerner,2002,,,BOTTLE, 65.00 € ,2
315,Kerner Weingut Köfererhof,2007,RARITAS,,BOTTLE, 65.00 € ,3
315,Kerner Weingut Manni Nössing,2007,RARITAS,,BOTTLE, 65.00 € ,17
321,Gewürztraminer Weingut Plattenhof,2021,,,BOTTLE, 49.00 € ,9
322,Gewürztraminer Weingut Hofstätter JOSEPH,2023,,,BOTTLE, 50.00 € ,21
,Gewürztraminer Weingut Elena Walch KASTELAZ ARGENTUM BONUM,2016,,,BOTTLE,,12
323,Gewürztraminer Weingut Elena Walch KASTELAZ ARGENTUM BONUM,2014,,,BOTTLE, 125.00 € ,11
