ok,type,name,winery_name,area,size,vintage,price,details,tech_sheet,internal_notes,info,matched_name,matched_winery_name,matched_id,matched_original_id,score
FALSE,SPARKLING,BILLECART SALMON Brut Reserve,BILLECART SALMON Brut Reserve,,BOTTLE,,80,,https://www.tannico.it/champagne-brut-reserve-billecart-salmon.html, https://www.tannico.it/champagne-brut-reserve-billecart-salmon.html,,Les Rendez-Vous de Billecart-Salmon No 1 Meunier Extra Brut Champagne,Billecart-Salmon,wine_01gzr4ks647t0v6fdnbct0gb2x,8752032,49.212746
TRUE,SPARKLING,BILLECART SALMON Blanc de Blancs,BILLECART SALMON Blanc de Blancs,,BOTTLE,,130,,https://www.vinatis.it/44237-champagne-billecart-salmon-grand-cru-blanc-de-blancs, https://www.vinatis.it/44237-champagne-billecart-salmon-grand-cru-blanc-de-blancs,,Blanc de Blancs Brut Champagne,Billecart-Salmon,wine_01gzr4ks6416ctefvem90vkjd9,7711844,49.752037
TRUE,SPARKLING,BOLLINGER “SPECIAL CUVEE” Brut,BOLLINGER “SPECIAL CUVEE” Brut,,BOTTLE,,120,,https://www.tannico.it/champagne-brut-special-cuvee-bollinger.html, https://www.tannico.it/champagne-brut-special-cuvee-bollinger.html,,Special Cuvée Brut Aÿ Champagne,Bollinger,wine_01gzr4ks77wsdabt6vnn27vs4y,18929,35.815838
TRUE,SPARKLING,BOLLINGER “LA GRANDE ANNEE” Brut,BOLLINGER “LA GRANDE ANNEE” Brut,,BOTTLE,2014,300,,https://www.tannico.it/champagne-brut-la-grande-annee-2014-bollinger.html?utm_source=aw-it-categories-brand-wine-dsa&utm_medium=cpc&utm_campaign=aw-it-categories-brand-wine-dsa&nol=true&ep=true&gclid=CjwKCAjw_b6WBhAQEiwAp4HyIKqM_AGJuwBpIs4Ob2-CK8k6dMf9cS271UVSXGviPLiIzUIwxT9hrhoC3lcQAvD_BwE, https://www.tannico.it/champagne-brut-la-grande-annee-2014-bollinger.html?utm_source=aw-it-categories-brand-wine-dsa&utm_medium=cpc&utm_campaign=aw-it-categories-brand-wine-dsa&nol=true&ep=true&gclid=CjwKCAjw_b6WBhAQEiwAp4HyIKqM_AGJuwBpIs4Ob2-CK8k6dMf9cS271UVSXGviPLiIzUIwxT9hrhoC3lcQAvD_BwE,,La Grande Année Brut Champagne,Bollinger,wine_01gzr4ks6y229v3p9003jmyzy6,18931,39.954197
TRUE,SPARKLING,BOLLINGER “R.D.” Extra Brut,BOLLINGER “R.D.” Extra Brut,,BOTTLE,2004,360,,https://www.tannico.it/champagne-extra-brut-r-d-2004-bollinger-astuccio.html, https://www.tannico.it/champagne-extra-brut-r-d-2004-bollinger-astuccio.html,,R.D Extra Brut Champagne (Récemment Dégorgé),Bollinger,wine_01gzr4ks77ynfxxqrnkg6ddmwp,1164702,34.796078
TRUE,SPARKLING,BRUNO PAILLARD Extra Brut Première Cuvée,BRUNO PAILLARD Extra Brut Première Cuvée,,BOTTLE,,99,,https://www.tannico.it/champagne-premiere-cuvee-extra-brut-bruno-paillard.html, https://www.tannico.it/champagne-premiere-cuvee-extra-brut-bruno-paillard.html,,Première Cuvée Extra Brut Champagne,Bruno Paillard,wine_01gzr4ks5h4zp749zmdayb3sac,1245747,42.35115
FALSE,SPARKLING,BRUNO PAILLARD Extra Brut Blanc de Blanc Grand Cru,BRUNO PAILLARD Extra Brut Blanc de Blanc Grand Cru,,BOTTLE,,140,,https://www.tannico.it/champagne-blanc-de-blancs-extra-brut-grand-cru-bruno-paillard.html, https://www.tannico.it/champagne-blanc-de-blancs-extra-brut-grand-cru-bruno-paillard.html,,Blanc de Blancs Spumante Brut,Chateau Blanc,wine_01h0qsxn5fymhd5vt8c9jzrd70,,47.90795
FALSE,SPARKLING,DELAMOTTE Brut,DELAMOTTE Brut,,BOTTLE,,99,,https://www.callmewine.com/champagne-brut-delamotte-P31238.htm, https://www.callmewine.com/champagne-brut-delamotte-P31238.htm,,Sélectionné Pour Hiramatsu Brut Champagne,Delamotte,wine_01gzr4ks6dx1xqjerzkcn7s36y,7547671,30.963364
FALSE,SPARKLING,DELAMOTTE Brut Blanc de Blanc,DELAMOTTE Brut Blanc de Blanc,,BOTTLE,,140,,https://www.millesima.it/champagne-delamotte-blanc-de-blancs-0000.html, https://www.millesima.it/champagne-delamotte-blanc-de-blancs-0000.html,,Blanc de Blancs Spumante Brut,Chateau Blanc,wine_01h0qsxn5fymhd5vt8c9jzrd70,,47.90795
FALSE,SPARKLING,DOM PERIGNON Brut Vintage Millesimè,DOM PERIGNON Brut Vintage Millesimè,,BOTTLE,2008,390,,https://www.callmewine.com/dom-perignon-2008-P17019.htm, https://www.callmewine.com/dom-perignon-2008-P17019.htm,,Brut Champagne,Dom Pérignon,wine_01gzr4ksd1q5hvwrcr5dxtbzer,86684,36.83926
FALSE,SPARKLING,DOM PERIGNON Brut Vintage Millesimè,DOM PERIGNON Brut Vintage Millesimè,,BOTTLE,2010,390,,https://www.enosearcher.it/bottiglia/dom-perignon-champagne-aoc-vintage-brut-millesimato-2010/, https://www.enosearcher.it/bottiglia/dom-perignon-champagne-aoc-vintage-brut-millesimato-2010/,,Brut Champagne,Dom Pérignon,wine_01gzr4ksd1q5hvwrcr5dxtbzer,86684,36.83926
TRUE,SPARKLING,DOM PERIGNON “P2” Brut Vintage,DOM PERIGNON “P2” Brut Vintage,,BOTTLE,2003,630,,https://www.callmewine.com/champagne-p2-dom-perignon-2003-P32524.htm, https://www.callmewine.com/champagne-p2-dom-perignon-2003-P32524.htm,,P2 Plénitude Brut Champagne,Dom Pérignon,wine_01gzr4ksd7kxm1ztzqza3vfezb,3102815,46.6787
TRUE,SPARKLING,JAQUESSON “CUVÉE N° 745” Brut,JAQUESSON “CUVÉE N° 745” Brut,,BOTTLE,,110,5 - N° 744,https://www.tannico.it/champagne-extra-brut-cuvee-n-745-jacquesson.html,5 - N° 744 https://www.tannico.it/champagne-extra-brut-cuvee-n-745-jacquesson.html,,Cuvée No 745 Extra Brut Champagne,Jacquesson,wine_01h4pmmfcvbrfk9sa5g54hvhxb,,35.767937
