external_id,name_one,name_two,winery_name,size,vintage,price,quantity,country
317,,Valpolicella superiore ripassa,Zenato,,,"€ 52,00","1 ‘18, 19‘19",
318,,Valpolicella superiore ripassa ,Zenato,Magnum,19,"€ 110,00",1,
319,,Amarone della Valpolicella,Zenato,,18,"€ 64,00",8,
320,,Amarone della Valpolicella,Zenato,Magnum,18,,3,
321,,Allegrini,,,,,,
322,,Corvina Veronese La Poja,Allegrini,,,"€ 180,00","8 ‘17, 5 ‘18",
323,,Amarone,Allegrini,,17,"€ 100,00",,
324,,Amarone,Allegrini,,‘18,"€ 100,00",,
325,,Amarone Corte Giara,Allegrini,,’17 ’19 ‘20,"€ 66,00",,
326,,Veronese Palazzo della Torre,Allegrini,,,"€ 39,00","1 ‘18, 1 ‘19, 21 ‘20",
327,,Veronese Palazzo della Torre ,Allegrini,Magnum,20,"€ 75,00",2,
328,,Veronese Palazzo della Torre ,Allegrini,Jéroboam,‘10,"€ 140,00",1,
329,,La Grola Rosso Veronese,Allegrini,,18,"€ 55,00","3 ‘18, 4’19",
330,,Le Salette,,,,,,
331,,Valpolicella,Le Salette,,22,"€ 24,00",16,
332,,Valpolicella Superiore Ripasso “I Progni”,Le Salette,,20,"€ 39,00",11,
333,,Amarone la Marega,Le Salette,,16,"€ 80,00",5,
334,,Amarone Pergole Vecie,Le Salette,,16,"€ 120,00",2,
335,,Marco Mosconi,,,,,,
336,,3Monelli Rosso Verona,Marco Mosconi ,,,,"1 ‘19, 9 ‘21",
337,,Paolo Cottini,,,,,,
338,,Valpolicella ripasso,Paolo Cottini,,,"€ 35,00","1 ‘18, 1 ‘19, 3 ‘20",
339,,Valpolicella ripasso,Paolo Cottini,,19,"€ 33,00",,
340,,Amarone classico,Paolo Cottini,,,"€ 56,00","1 ‘16, 1 ‘17, 6 ‘18",
341,,Masi,,,,,,
342,,Valpolicella ripassa Campofiorin,Masi,,20,"€ 34,00",10,
343,,Valpolicella ripassa Campofiorin ,Masi,Magnum,20,"€ 68,00",5,
344,,Amarone Costasera,Masi,,18,"€ 65,00",15,
345,,Amarone Costasera,Masi,,‘17,"€ 65,00",,
346,,Amarone Costasera ,Masi,Magnum,17,"€ 140,00",2,
347,,Amarone Campolongo,Masi,,13,"€ 145,00",2,
348,,Rosso Double ,Masi,,,,"6 ‘20, 5 ‘19",
349,,Corte Giara,,,,,,
350,,Amarone della Valpolicella,Corte Giara,,,,"1 ‘19, 4 ‘20",
351,,Speri,,,,,,
352,,Amarone S. Urbano                                                                                                                         ,Speri,,,"€ 90,00","4 ‘17, 3 ‘13",
353,,Valpolicella ripasso,Speri,,’21,"€ 35,00",15,
354,,Amarone S.Urbano,Speri,,13,"€ 78,00","1 ‘13, 6 ‘18 6 ‘19",
355,,Valpolicella S.Urbano,Speri,,15,"€ 37,00","7 ‘15, 6 ‘19, 6 ‘20",
356,,Villa Spinosa,,,,,,
357,,Amarone della Valpolicella,Villa Spinosa,,18,,16,
358,,Valpolicella classico Jago,Villa Spinosa,,19,,12,
359,,La Montecchia,,,,,,
360,,Merlot Cabernet,La Montecchia,,,"€ 28,00","4 ‘19, 3 ‘20",
