"name","winery","vintage","size","sales_price_eur","purchase_price","storage_area"
"Amarone della Valpolicella","Fumanelli ",2018,0.75,€ 98.00,€ 41.60,"Hauptlager"
"Amarone della Valpolicella","Secondo Marco",2013,0.75,€ 103.00,€ 36.95,"Hauptlager"
"Rosso „Solo per un amico”","Secondo Marco",2012,0.75,€ 138.00,€ 58.60,"Hauptlager"
"Amarone della Valpolicella „Selezione Benedetto Speri”","Secondo Marco",2008,0.75,€ 179.00,€ 83.20,"Hauptlager"
"Amarone della Valpolicella „Il Fumetto”","Secondo Marco",2008,0.75,€ 295.00,€ 154.00,"Hauptlager"
"Amarone della Valpolicella „Pietro dal Cero""","Ca' dei Frati",2015,0.75,€ 129.00,€ 45.30,"Hauptlager"
"Amarone della Valpolicella „Pietro dal Cero""","Ca' dei Frati",2013,0.75,€ 209.00,€ 118.00,"Hauptlager"
"Amarone della Valpolicella „Pietro dal Cero""","Ca' dei Frati",2012,0.75,€ 254.00,€ 158.90,"Hauptlager"
"Amarone della Valpolicella „Pietro dal Cero""","Ca' dei Frati",2011,0.75,€ 245.00,€ 150.70,"Hauptlager"
"Amarone della Valpolicella „Pietro dal Cero""","Ca' dei Frati",2009,0.75,€ 220.00,€ 128.00,"Hauptlager"
"Cuvée „602020“ Riserva","Zýmē",2020,0.75,€ 65.00,€ 25.00,"Hauptlager"
"Oseleta „Il Gene”","Zýmē","2013/2015",0.75,€ 83.00,€ 33.00,"Hauptlager"
"Syrah „La mia passione“ Riserva","Zýmē","2017/2019",0.75,€ 99.00,€ 40.70,"Hauptlager"
"Cuvée „Kairos“ Riserva","Zýmē","2019/2020",0.75,€ 99.00,€ 40.70,"Hauptlager"
"Cuvée „Harlequin“ Riserva","Zýmē",2016,0.75,€ 359.00,€ 250.00,"Hauptlager"
"Amarone „La Mattonara” Riserva","Zýmē",2009,0.75,€ 359.00,€ 250.00,"Hauptlager"
"Ronchedone","Ca' dei Frati",2020,0.75,€ 49.00,€ 15.10,"Hauptlager"
"Cuvée „Corte del Lupo“","Ca' del Bosco",2020,0.75,€ 55.00,€ 20.40,"Hauptlager"
"Il Merlot","Ca' del Bosco",2011,0.75,€ 149.00,€ 62.50,"Hauptlager"
"Rosso del Sebino „Carmenero“","Ca' del Bosco",2018,0.75,€ 183.00,€ 94.20,"Hauptlager"
"S Cuvée Rosso „Mompertone“","Prunotto",2022,0.75,€ 37.00,€ 11.25,"Hauptlager"
"Langhe Nebbiolo „Occhetti“","Prunotto",2022,0.75,€ 45.00,€ 14.70,"Hauptlager"
"Barbera „Gradale“ Bio","Villa Terlina",2019,0.75,€ 49.00,€ 13.75,"Hauptlager"
"Barbera „Bricco dell’Uccellone“","Braida",2019,0.75,€ 113.00,€ 43.40,"Hauptlager"
"Barbaresco „Bric Turot“","Prunotto","2019/2020",0.75,€ 97.00,€ 39.20,"Hauptlager"
"Barolo „Margheria“","Massolino","2017/2019",0.75,€ 127.00,€ 50.65,"Hauptlager"
"Barolo „Bussia“","Prunotto","2017/2018",0.75,€ 149.00,€ 63.70,"Hauptlager"
"Barolo „Mosconi“","Prunotto",2020,0.75,€ 168.00,€ 77.60,"Hauptlager"
"Barolo Riserva „Vigna Colonnello“","Prunotto",2018,0.75,€ 243.00,€ 145.40,"Hauptlager"
"Chianti Classico „Colli Senesi“","Castello di Farnetella","2022/2023",0.75,€ 37.00,€ 7.00,"Hauptlager"
"Chianti Classico „Berardenga“","Fèlsina",2020,0.75,€ 53.00,€ 24.00,"Hauptlager"
"Chianti Class. Ris. „March. Antinori“","Tignanello",2019,0.75,€ 71.00,€ 28.00,"Hauptlager"
"Cabreo „Il Borgo“","Folonari","2018/2019",0.75,€ 76.00,€ 29.90,"Hauptlager"
"Fontalloro","Fèlsina",2018,0.75,€ 109.00,€ 43.90,"Hauptlager"
"Tignanello","Marchese Antinori          ",2019,0.75,€ 182.00,€ 89.90,"Hauptlager"
"Rosso di Montalcino Bio","Col d'Orcia",2021,0.75,€ 44.00,€ 16.00,"Hauptlager"
