external_id,name_one,name_two,size,winery_name,country,vintage,currency,price,quantity,
210,Piemonte,,,,,,,,,
211,Rossj Bass Langhe DOP ,,,Gaja,,21,€,"€ 104,00",4,
212,Rossj Bass Langhe DOP ,,,Gaja,,‘22,€,"€ 90,00",6,
213,Gavi di Gavi,,,Nicola Bergaglio,,20,€,"€ 21,00",,
214,,,,,,,,,,
215,Marche,,,,,,,,,
216,Verdicchio di Jesi Superiore Massaccio ,,,Tenute San Sisto,,20,€,"€ 28,00",17,
217,Pecorino Santa Maria ,,,Vinicentanni,,‘21,€,,5,
218,,,,,,,,,,
219,Campania,,,,,,,,,
220,Furore Bianco Fiorduva,,,Marisa Cuomo,,‘18,€,"€ 82,00",1,
221,Furore Bianco Fiorduva,,,Marisa Cuomo,,‘21,€,"€ 78,00",,
222,Furore Bianco Fiorduva,,,Marisa Cuomo,,‘22,€,"€ 42,00",1,
223,,,,,,,,,,
224,Toscana,,,,,,,,,
225,Sambrena Bianco IGT,,,Tenuta La Novella,,‘19,€,"€ 20,00",5,
226,,,,,,,,,,
227,Vini bianchi esteri,,,,,,,,,
228,"Grüner Veltliner ""Federspiel Rotes Tor""",,,Franz Hirtzberger,AUT,13,€,"€ 60,00",4,
229,Viognier Sauvignon Equinoxe ,,,l’Arjolle,FRA,‘22,€,"€ 36,00",4,
230,Riesling Klausberg Private Reserve,,,Nikolaihof,AUT,’09,€,"€ 90,00",3,
231,Riesling Smaragd Wachau ,,,Nikolaihof,AUT,16,€,"€ 72,00",3,
232,Riesling Vom Stein Federspiel ,,,Nikolaihof,AUT,11,€,"€ 72,00",1,
233,Riesling Federspiel ,,,Nikolaihof,AUT,20,€,,6,
234,Veltriner Fruhroter ,,,Nikolaihof,AUT,11,€,"€ 40,00",4,
235,Grüner Veltliner Federspiel,,,Nikolaihof,AUT,,€,"€ 45,00","4 ‘18, 8 ‘19",
236,Grüner Veltliner Smaragd ,,,Nikolaihof,AUT,15,€,"€ 73,00",3,
237,Riesling Steiner Hund,,,Nikolaihof,AUT,‘15,€,"€ 73,00",4,
238,Grüner Veltliner,,,Stift Kloster Neuburg,AUT,‘21,€,"€ 35,00",3,
239,Weißburgunder ,,,Stift Kloster Neuburg,AUT,‘21,€,"€ 35,00",5,
240,Chardonnay ,,,Stift Kloster Neuburg,AUT,‘21,€,"€ 66,00",,
241,Riesling Federspiel ,,,Rudi Pichler,AUT,‘18,€,"€ 40,00",,
