name,winery,vintage,size,price
Ater Primitivo di Manduria 2015,Kellerei Ionis,2015,,"""47,00 €"""
„Es“ Primitivo di Manduria 2022,Gianfranco Fino,2022,,"""87,00 €"""
„Jo“ Negroamaro 2020,Gianfranco Fino,2020,,"""87,00 €"""
"""Mille e una Notte 2019 | ND, PV, SY""",Kellerei Donnafugata,2019,,"""89,00 €"""
"""Dolce & Gabbana Tancredi 2020 | CS, ND, TAN""",Kellerei Donnafugata,2020,,"""58,00 €"""
Merlot Ars Magna 2016,Kellerei Omina Romana,2016,,"""89,00 €"""
Montepulciano Jarno Rosso 2015,Castorani Colline Pescaresi,2015,,"""61,00 €"""
Nero d’Avola Dieci Inverni 2012,Castorani Colline Pescaresi,2012,,"""149,00 €"""
Pic Chablis 1er Cru,"""Domaine Régnard, Ladoucette, Frankreich""",,,"""140,00 (2017) | 162,00 € (2012)"""
Chablis Vieilles Vigne 2020,"""Domaine Gautheron Alain et Cyril, Frankreich""",2020,,"""54,00 €"""
"""Chablis Grand Cru """"Vaudésir"""" 2019""","""Domaine Besson, Burgund Frankreich""",2019,,"""75,00 €"""
Sancerre Blanc 'Clos Paradis' 2022,"""Domaine Fouassier, Loire Tal Frankreich""",2022,,"""48,00 €"""
Sous le Puits Puligny-Montrachet 1er Cru 2019,"""Maison Louis Latour, Frankreich""",2019,,"""145,00 € 2022 | 165,00 € 2018"""
"""Blanc de Lynch-Bages 2018 | SB, SE, MCD""","""Château Lynch-Bages, Bordeaux, Frankreich""",2018,,"""125,00 €"""
