external_id,name,winery,vintage,size,eur_sales_price,qty
267,Barbaresco Secondine 2019 Kellerei,Alfredo Prunotto,2019,BOTTLE,98,3
268,Barbaresco 2019,Agrargesellschaft Gaja,2019,BOTTLE,290,3
269,Nebbiolo Perbacco 2019,Kellerei Vietti,2019,BOTTLE,41,3
270,Solo per un Amico 2012 ,Kellerei Secondo Marco,2012,BOTTLE,102,10
271,Amarone della Valpolicella 2013,Kellerei Secondo Marco,2013,BOTTLE,75,0
272,Fumetto Riserva 2008 ,Kellerei Secondo Marco,2008,BOTTLE,269,1
273,Valpolicella Ripasso Superiore 2019,Weingut Zenato,2019,BOTTLE,42,4
274,Valpolicella Valpantena Superiore 2019,Costa Arènte,2019,BOTTLE,42,2
275,Amarone della Valpolicella Classico 2018,Weingut Zenato,2018,BOTTLE,84,3
276,Amarone della Valpolicella Classico,Weingut Bertani,2011,BOTTLE,161,0
277,Amarone della Valpolicella Classico,Weingut Bertani,2007,BOTTLE,198,2
278,Kairos Cuvée 2019,Zýmē di Celestino Gaspari,2019,BOTTLE,98,9
279,Amarone della Valpolicella Case Vecie 2017,Agrargesellschaft Brigaldara,2017,BOTTLE,69,6
280,Ilmerlot 2011,Ca’ del Bosco,2011,BOTTLE,110,1
281,"Veronese Rosso Campofiorin 2012 COR, RON",Weingut Masi,2012,BOTTLE,76,2
282,Terra di Monteverro ,Weingut Monteverro,2020,BOTTLE,73,18
283,Bolgheri Villa Donoratico 2020 ,Weingut Argentiera,2020,BOTTLE,55,1
284,Rosso di Montalcino Pian delle Vigne,Tenuta Marchesi Antinori,2013,BOTTLE,78,2
285,Rosso di Montalcino Pian delle Vigne,Tenuta Marchesi Antinori,2012,BOTTLE,83,2
286,Sassicaia ,Kellerei San Guido,2018,BOTTLE,430,5
287,Sassicaia ,Kellerei San Guido,2017,BOTTLE,430,5
288,Sassicaia ,Kellerei San Guido,2016,BOTTLE,750,5
289,Sassicaia ,Kellerei San Guido,2015,BOTTLE,550,5
290,Sassicaia ,Kellerei San Guido,2014,BOTTLE,450,2
291,Il Bruciato 2022 ,Weingut Guado al Tasso – Antinori,2022,BOTTLE,43,4
292,Insoglio del Cinghiale 2022 ,Weingut Biserno,2022,BOTTLE,43,2
293,Brunello di Montalcino Riserva 2012 Duelecci Ovest,Tenuta di Sesta,2012,BOTTLE,121,1
294,Desiderio Toscana Merlot 2020,Avignonesi,2020,BOTTLE,74,5
295,Cepparello Sangiovese Toscana 2019,Isole E Olena,2019,BOTTLE,135,2
296,Brunello di Montalcino 2019,Weingut Col d’Orcia,2019,BOTTLE,58,5
297,When We Dance Chianti Classico 2022,Weingut Il Palagio,2022,BOTTLE,37,4
298,Villa Antinori Chianti Classico Riserva 2020,Weingut Marchese Antinori,2020,BOTTLE,38,3
299,Marchese Antinori Chianti Classico Riserva 2020,Weingut Tignanello,2020,BOTTLE,54,6
300,Cont’Ugo 2021 ,Weingut Guado al Tasso,2021,BOTTLE,65,6
301,Concerto di Fonterutoli 2015 ,Mazzei Castello di Fonterutoli,2015,BOTTLE,89,2
302,Solaia 2019 ,Tenuta Tignanello - Antinori,2019,BOTTLE,495,3
303,Cabreo Il Borgo 2019 ,Ambrogio e Giovanni Folonari,2019,BOTTLE,68,6
304,Il Blu Rosso ,Brancaia,2018,BOTTLE,97,0
305,Il Blu Rosso ,Brancaia,1999,BOTTLE,149,1
306,Primitivo di Manduria Abbasc 2021,Kellerei Ionis,2021,BOTTLE,38,6
307,Ater Primitivo di Manduria 2015,Kellerei Ionis,2015,BOTTLE,47,8
308,„Es“ Primitivo di Manduria 2022,Gianfranco Fino,2022,BOTTLE,87,12
309,„Jo“ Negroamaro 2020,Gianfranco Fino,2020,BOTTLE,87,6
310,Mille e una Notte 2019 ,Kellerei Donnafugata,2019,BOTTLE,89,3
311,Dolce & Gabbana Tancredi 2020 ,Kellerei Donnafugata,2020,BOTTLE,58,3
312,Merlot Ars Magna 2016,Kellerei Omina Romana,2016,BOTTLE,89,5
