"name","winery","vintage","size","price"
"Zeno Blauburgunder Riserva","Kellerei Meran",2010,"BOTTLE","69,00 € "
"Monticol Riserva 2020","Kellerei Terlan",2020,"BOTTLE","""48,00 €"""
"Schwarze Madonna","Weingut Klosterhof",2019,"BOTTLE","""46,00 € "
"Schwarze Madonna","Weingut Klosterhof",2015,"BOTTLE","58,00 €"
"Burgum Novum Riserva","Weingut Castelfeder",2019,"BOTTLE","""52,00 €"
"Burgum Novum Riserva","Weingut Castelfeder",2015,"BOTTLE","65,00 €"
"Amantus 2021","Weingut Eichenstein",2021,"BOTTLE","""36,00 €"""
"Blauburgunder Riserva Vigna Kofl 2020","Weingut Peter Zemmer",2020,"BOTTLE","""53,00 €"""
"Pigeno 2020","Weingut Stroblhof",2020,"BOTTLE","""43,00 €"""
"Pinot Nero 2022","Kellerei Andrian",2022,"BOTTLE","""34,00 €"""
"Barthenau Vigna S. Urbano 2018","Weingut J. Hofstätter",2018,"BOTTLE","""79,00 €"""
"Blauburgunder Riserva 2021","Weinhof Prackfol",2021,"BOTTLE","""43,00 €"""
"Blauburgunder vom Roten Kalk 2020","Weingut Abraham",2020,"BOTTLE","""59,00 €"""
"Wildmonn Riserva 2020","Weingut Wildmonn",2020,"BOTTLE","""98,00 €"""
"Südtiroler Blauburgunder Mazzon 2019","Weingut Gottardi",2019,"BOTTLE","""41,00 €"""
"Lagrein 2020","Weinmanufaktur Luis Oberrauch",2020,"BOTTLE","""41,00 €"""
"Gries Riserva 2021","Kellerei Terlan",2021,"BOTTLE","""42,00 €"""
"Taber Riserva 2021","Kellerei Bozen",2021,"BOTTLE","""66,00 €"""
"Perl 2022","Kellerei Bozen",2022,"BOTTLE","""36,00 €"""
"Porphyr Riserva 2020","Kellerei Terlan",2020,"BOTTLE","""69,00 €"""
"Rotes Bergwerk 2018","Weingut Kiemberger",2018,"BOTTLE","""43,00 €"""
"Lagrein Riserva Weingarten Klosteranger 2020","Klosterkellerei Muri Gries",2020,"BOTTLE","""103,00 €"""
"Segen Riserva","Kellerei Meran",2019,"BOTTLE","""42,00 € "
"Segen Riserva","Kellerei Meran",2014,"BOTTLE","60,00 € "
"Segen Riserva","Kellerei Meran",2011,"BOTTLE","70,00 € "
"Prestige Grieser Lagrein Riserva 2020","Kellerei Bozen",2020,"BOTTLE","""43,00 €"""
"Laianus Riserva 2018","Weingut Klaus Lentsch",2018,"BOTTLE","""53,00 €"""
"Mirell Riserva 2020","Ansitz Waldgries",2020,"BOTTLE","""54,00 €"""
"Lamarein","Weingut Erbhof Unterganzner",2022,"BOTTLE","""126,00 € "
"Lamarein","Weingut Erbhof Unterganzner",2021,"BOTTLE","136,00 €"
"Sass Roà Riserva 2020","Landesweingut Laimburg",2020,"BOTTLE","""44,00 €"""
"Kirchhügel Riserva 2020","Kellerei Kurtatsch",2020,"BOTTLE","""37,00 €"""
"COR Römigberg 2018","Weingut Alois Lageder",2018,"BOTTLE","""73,00 €"""
"Freienfeld Riserva","Kellerei Kurtatsch",2020,"BOTTLE","""65,00 € "
"Freienfeld Riserva","Kellerei Kurtatsch",2011,"BOTTLE","89,00 € "
"Mumelter Riserva 2019","Kellerei Bozen",2019,"BOTTLE","""54,00 €"""
"Staffes Riserva","Weingut Kornell",2020,"BOTTLE","""41,00 € "
"Staffes Riserva","Weingut Kornell",2015,"BOTTLE","51,00 € "
"Quintessenz Riserva 2020","Kellerei Kaltern",2020,"BOTTLE","""49,00 €"""
"Cabernet Riserva","Weingut Wassererhof",2019,"BOTTLE","""44,00 €"
"Cabernet Riserva","Weingut Wassererhof",2017,"BOTTLE"," 50,00 € "
"Cabernet Riserva","Weingut Wassererhof",2016,"BOTTLE"," 53,00 €"
"Cabernet Riserva","Weingut Wassererhof",2015,"BOTTLE"," 56,00 € "
"Barleith 2020 | Amphorenwein","Bioweinhof Tröpfltalhof",2020,"BOTTLE","""65,00 €"""
"Vigna Toren Riserva 2020","Schlosskellerei Tiefenbrunner",2020,"BOTTLE","""154,00 € "
"Vigna Toren Riserva 2020","Schlosskellerei Tiefenbrunner",2018,"MAGNUM","325,00 € "
"""Mauritius 2020 | ME, LA""","Kellerei Bozen",2020,"BOTTLE","""54,00 €"""
"""Col de Réy 2018 | LA, PV, TAN""","Landesweingut Laimburg",2018,"BOTTLE","""59,00 €"""
"""Iugum 2017 | ME, CS""","Weingut Peter Dipoli",2017,"BOTTLE","""57,00 €"""
"Graf Merlot-Lagrein 2022","Kellerei Meran",2022,"BOTTLE","""38,00 €"""
"""Composition Reif 2022 | CS, CF, PV, LA""","Weingut Erbhof Unterganzner",2022,"BOTTLE","""68,00 €"""
"""Castel Campan 2020 | CF, ME""","Weingut Manincor",2020,"BOTTLE","""109,00 €"""
"""Mumbolt 2021 | CS, CF, LA, SY Weingut""","Wassererhof",2021,"BOTTLE","""41,00 €"""
"""Linticlarus Riserva 2021 | CS, ME""","Schlosskellerei Tiefenbrunner",2021,"BOTTLE","""61,00 €"""
"""Viribus Unitis 2018 | CS, TAN, LA""","Weingut Andi Sölva und Norbert Kofler",2018,"BOTTLE","""84,00 €"""
"""Frauenriegel 2020 | ME, CF""","Weingut Peter Dipoli",2020,"BOTTLE","""59,00 €"""
"Kunstwerk der Natur Sagittarius 2019","Weingut Kränzelhof",2019,"BOTTLE","""63,00 €"""
"""Staffelfeld 2020 | CS, ME, CF""","Weingut Baron Widmann",2020,"BOTTLE","""46,00 €"""
"""Cassiano 2020 | ME, CF, TE, CS, PV, SY""","Weingut Manincor",2020,"BOTTLE","""51,00 €"""
"""TRES 2016 | ME, CS""","Kellerei Kurtatsch",2016,"BOTTLE","""215,00"""
"""Klaser Stoanadler Riserva 2021 | LA, CS""","Weingut Niklas",2021,"BOTTLE","""41,00 €"""
"Saperaira 2019","Kellerei Meran",2019,"BOTTLE","""49,00 €"""
"Barolo Bricco delle Viole 2013","G.D. Vajra",2013,"BOTTLE","""159,00 €"""
"Barolo 2019","Kellerei Massolino",2019,"BOTTLE","""57,00"""
"Barolo Lazzarito 2019","Kellerei Vietti",2019,"BOTTLE","""199,00 €"""
"Montebruna 2020","Weingut Braida",2020,"BOTTLE","""38,00 €"""
"Barbera d’Asti Bricco dell’Uccellone","Weingut Braida",,"BOTTLE","""81,00 €"""
"Barbera del Monferrato Rivalta 2003","Villa Sparina",2003,"BOTTLE","""69,00 €"""
