"type","name","qty","eur_sales_price","eur_purchase_price"
"SPARKLING_ROSE","Rosé de Saignée (M) 2015 Brut Gamet ",2.00,110.00 €,220.00 €
"SPARKLING_ROSE","Rosé de Saignée (M) Extra Brut Mathieu Gandon",1.00,95.00 €,95.00 €
"WHITE","Kerner 2023 Köfererhof Neustift ",14.00,34.00 €,476.00 €
"WHITE","Sauvignon Blanc Tannenberg 2020 Manincor Kalterer See",2.00,46.00 €,92.00 €
"WHITE","Sauvignon Blanc Matthias 2019 Pfitscher Montan",4.00,55.00 €,220.00 €
"WHITE","Sauvignon Blanc Voglar 2020 Dipoli Neumarkt ",2.00,39.00 €,78.00 €
"WHITE","Sauvignon Blanc Rennaissance Riserva 2019 Gump Hof Völs am Schlern",5.00,70.00 €,350.00 €
"WHITE","Sauvignon Blanc Praesulis 2021 Gump Hof Völs am Schlern ",9.00,45.00 €,405.00 €
"WHITE","Sauvignon Blanc Quarz 2021 Kellerei Terlan ",2.00,75.00 €,150.00 €
"WHITE","Sauvignon Blanc Quarz 2021 Kellerei Terlan MAGNUM",1.00,150.00 €,150.00 €
"WHITE","Sauvignon Blanc Marzan 2022 Schloss Plars Algund",4.00,29.00 €,116.00 €
"WHITE","Sauvginon Blanc Oberberg 2020 Kornell Siebeneich",7.00,49.00 €,343.00 €
"WHITE","Sauvignon Blanc Riserva 2020 Prackfol Völs am Schlern ",5.00,92.00 €,460.00 €
"WHITE","Grauburgunder Fateni 2019 Salurnis",1.00,33.00 €,33.00 €
"WHITE","Grauburgunder Amphore Maximus 2021 Pitzner Kardaun",16.00,70.00 €,"1,120.00 €"
"WHITE","Grauburgunder 2021 Schinterhof Barbian ",7.00,40.00 €,280.00 €
"WHITE","Grauburgunder Amphore Fluch & Segen 2022 Martin Schgraffer Salurn",3.00,84.00 €,252.00 €
"WHITE","Sylvaner Gols 2021 Griesser Hof Eisacktal ",1.00,36.00 €,36.00 €
"WHITE","Sylvaner 2021 Daniel Sigmund Brixen",10.00,40.00 €,400.00 €
"WHITE","Weissburgunder In der Lämm 2021 Martin Abraham Eppan",5.00,40.00 €,200.00 €
"WHITE","Weissburgunder Sirmian 2021 Nals-Magreid",8.00,45.00 €,360.00 €
"WHITE","Weissburgunder Lapis 2018 Oberstein Tscherms ",3.00,40.00 €,120.00 €
"WHITE","Weissburgunder Berg 2022 Niedrist Eppan",3.00,42.00 €,126.00 €
"WHITE","Weissburgunder Sandl 2020 Prackfol Völs am Schlern ",5.00,85.00 €,425.00 €
"WHITE","Gewürztraminer Upupa Orange 2020 Martin Abraham Eppan",1.00,47.00 €,47.00 €
"WHITE","Gewürztraminer Upupa Orange 2019 Martin Abraham Eppan MAGNUM ",1.00,96.00 €,96.00 €
"WHITE","Gewürztraminer St. Valentin 2021 St. Michael Eppan ",1.00,49.00 €,49.00 €
"WHITE","Gewürztraminer Amphora 2014-2016 Ansitz Dolomythos Ritten",4.00,85.00 €,340.00 €
"WHITE","Chardonnay Baron Salvadori 2020 Nals-Magreid ",8.00,55.00 €,440.00 €
"WHITE","Chardonnay Baron Salvadori 2017 Nals-Magreid ",4.00,55.00 €,220.00 €
"WHITE","Chardonnay Riserva 2020 Schloss Englar Eppan ",9.00,53.00 €,477.00 €
"WHITE","Chardonnay St. Valentin 2020 St. Michael Eppan ",1.00,49.00 €,49.00 €
"WHITE","Chardonnay St. Valentin 2019 St. Michael Eppan  MAGNUM",1.00,115.00 €,115.00 €
"WHITE","Chardonnay St. Valentin 2020 St. Michael Eppan  MAGNUM",1.00,105.00 €,105.00 €
"WHITE","Chardonnay Gaun 2021 Alois Lageder Magreid ",1.00,38.00 €,38.00 €
"WHITE","Chardonnay 2021 Pitzner Kardaun ",18.00,70.00 €,"1,260.00 €"
"WHITE","Chardonnay 2020 Pitzner Kardaun ",18.00,70.00 €,"1,260.00 €"
"WHITE","Chardonnay First Lady 2020 Papstlhof Kaltern",2.00,39.00 €,78.00 €
"WHITE","Chardonnay Fluch & Segen 2022 Martin Schgraffer Salurn",12.00,59.00 €,708.00 €
"WHITE","Cuvée Reserve della Contessa 2022 (WB/CH/SV) Manincor Kalterer See",2.00,36.00 €,72.00 €
"WHITE","Cuvée Aichberg 2018 (WB/CH/SV) Kornell Terlan ",2.00,46.00 €,92.00 €
