type,winery,name,size,vintage,supplier,price_eur,qty,Storage_1,Storage_2,Storage_3,purchase_price_inclvat
WHITE,Doro Princic,Pinot Bianco?,,2022,TOLM,40 €,2,Frigo bianchi,,, 17 € 
WHITE,Doro Princic,Sauvignon,,2022,,40 €,1,Frigo bianchi,,, 17 € 
WHITE,Fattoria del Teso,Orange del Teso,,,,,3,Frigo bianchi,,, 15 € 
WHITE,Fiegl,Chardonnay,,2022,,20 €,8,tav10,Frigo bianchi,,
WHITE,Fiegl,Friulano,,2024,,20 €,13,Frigo friulani,tav10,, 7 € 
WHITE,Fiegl,Malvasia,,2023,,20 €,2,tav10,,,
WHITE,Fiegl,Pinot Grigio,,2022,,20 €,8,Frigo bianchi,tav10,,
WHITE,Fiegl,Ribolla Gialla,,2024,,30 €,8,tav10,Frigo bianchi,, 10 € 
WHITE,Fiegl,Ribolla Macerata,,2020,,,6,tav10,,,
WHITE,Fiegl,Sauvignon,,2023,,20 €,9,tav10,Frigo bianchi,,
WHITE,Formentini,Bianco,,2020,,25 €,1,Frigo friulani,,,
WHITE,Formentini,Chardonnay   ,,2021,,25 €,11,Frigo bianchi,sarpi,,
WHITE,Formentini,Chardonnay   ,,2023,GIV,25 €,11,sarpi,,, 9 € 
WHITE,Formentini,Friulano  doc Collio,,2023,GIV,25 €,28,s1,Frigo friulani,sarpi, 8 € 
WHITE,Formentini,Pinot Grigio,,2023,GIV,25 €,6,sarpi,,, 9 € 
WHITE,Formentini,Ribolla Gialla Collio ,,2023,GIV,25 €,1,Frigo friulani,,, 8 € 
WHITE,Hermines Du Cardinal ,Muscadet Sèvre Et Maine - Loira,,2020,,25 €,1,Frigo bianchi,,, 11 € 
WHITE,Hermines Du Cardinal ,Muscadet Sèvre Et Maine - Loira,,2021,,,1,Frigo bianchi,,, 11 € 
WHITE,Huchet Jeremie,Clos Les Montys Muscadet-Melon Bourgo,,2022,,25 €,2,Frigo Sala dx,,, 9 € 
