external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible,purchase_price_inclvat
,RED,Rinazzo - Syrah,Pellegrino (Rinazzo),,BOTTLE,2020,2500,655,4,bar009,,True, 8 € 
,RED,Solneri Barbera d'Asti Superiore,Pescaja,,BOTTLE,2022,4200,1475,5,bar001,,True, 18 € 
,RED,"Sololuna Terre Alfieri, Bianco Arneis  ",Pescaja,,BOTTLE,2020,3600,1311,5,Frigo Sala sx,,True, 16 € 
,RED,Cabernet Maremma,Peteglia,,BOTTLE,2019,3900,1065,3,s3,,True, 13 € 
,RED,Mezzodi' Sangiovese,Peteglia,,BOTTLE,2023,2500,655,5,s3,,True, 8 € 
,RED,Montecucco Sangiovese 18 Barriques ,Peteglia,,BOTTLE,2019,0,1311,1,s3,,True, 16 € 
,RED,Montecucco Sangiovese Ris. 36 Barr.,Peteglia,,BOTTLE,2019,4000,1311,6,s3,,True, 16 € 
,RED,Montecucco Sangiovese 18 Barriques ,Peteglia ,,BOTTLE,2020,2700,819,11,s3,,True, 10 € 
,RED,Merlot Scaglia Rossa,Pizzulin,,BOTTLE,2021,9700,4016,1,snack,,True, 49 € 
,RED,Bramaterra doc,Podere Monolo,,BOTTLE,2019,0,81,1,Collezione,,True, 1 € 
,RED,Barbera d'Alba (Antinori),Prunotto (Antinori),,BOTTLE,2022,3000,819,2,bar001,,True, 10 € 
,RED,Barolo (Antinori),Prunotto (Antinori),,BOTTLE,2020,6500,2704,4,bar001,,True, 33 € 
,RED,Aglianico Del Vulture,Re Manfredi,,BOTTLE,2016,3600,1311,1,bar009,Fornitore: GIV,True, 16 € 
,RED,Tazzelenghe doc,Rieppi,,BOTTLE,2018,4000,1475,1,Collezione,,True, 18 € 
,RED,Red Selectus,Ronk,,BOTTLE,0,0,0,1,tav10-top,,True,0
,RED,Cabernet Franc,Russiz Superiore Marco Felluga ,,BOTTLE,2021,3500,1229,3,bar006,,True, 15 € 
,RED,Merlot,Russiz Superiore Marco Felluga ,,BOTTLE,2018,3500,1229,1,bar006,,True, 15 € 
,RED,Rosso di Montepulciano+C295,Salcheto ,,BOTTLE,2020,2500,737,4,bar010,,True, 9 € 
,RED,Refosco,Sancin,,BOTTLE,2021,3000,901,3,tav10-top,,True, 11 € 
,RED,Tempus Soave Soc Colli Scaligeri,Sandro De Bruno,,BOTTLE,2007,3000,1065,1,MAG,Fornitore: Area 6 srl,True, 13 € 
,RED,Giardino Rose' igt Rosato,Santa Cristina (Antinori),,BOTTLE,2023,2500,491,5,tav10-top,,True, 6 € 
,RED,Amarone,Santi,,BOTTLE,2017,0,2704,0,Frigo bianchi,Fornitore: GIV,True, 33 € 
,RED,Carlo Santi 1843 Amarone,Santi,,BOTTLE,2016,7000,2868,5,s4 - legno,Fornitore: GIV,True, 35 € 
,RED,Crinaia Cab. Sauv.Franc E Merlot,Santi,,BOTTLE,2019,3000,1065,2,bar005,Fornitore: GIV,True, 13 € 
,RED,"Solane (Valpolicella Ripasso-Corvina, Rondinella)",Santi,,BOTTLE,2020,2900,901,3,bar005,Fornitore: GIV,True, 11 € 
,RED,"Ventale Valpolicellacorvina, Rond.",Santi,,BOTTLE,2020,2700,737,9,s4+bar005,Fornitore: GIV,True, 9 € 
,RED,Capoccia Ciliegiolo,Scansano,,BOTTLE,2023,2500,491,8,bar009,,True, 6 € 
,RED,Merlot,Simon di Brazzan,,BOTTLE,2021,3500,983,14,s2+bar007+Frigo bianchi,,True, 12 € 
,RED,Toscana Rosso,Società Agricola Francesca,,BOTTLE,2021,0,81,1,tav10-top,,True, 1 € 
,RED,Merlot,Tami,,BOTTLE,2021,2600,81,6,s2+bar008,,True, 1 € 
,RED,Merlot,Tami,,BOTTLE,2022,0,737,0,nan,,True, 9 € 
,RED,Refosco dal Peduncolo Rosso,Tami,,BOTTLE,2021,2600,737,9,s2+bar008,,True, 9 € 
,RED,Rosso Riserva,Tami,,BOTTLE,2017,5000,1393,6,s2,,True, 17 € 
,RED,Il Fortino (Syrah),Tenuta del Buonamico,,BOTTLE,2018,0,81,2,tav11,,True, 1 € 
,RED,Vasario igt (Pinot Bianco),Tenuta del Buonamico,,BOTTLE,2020,0,81,3,tav11,,True, 1 € 
,RED,Conte Hugues Chardonnay igt,Tenuta Rapitalà,,BOTTLE,2019,4400,1557,2,Frigo Sala sx,,True, 19 € 
,RED,Hugonis Cab.Sauvig.+Nero D'avola doc,Tenuta Rapitalà,,BOTTLE,2019,5000,1557,5,s3 - legno,,True, 19 € 
,RED,Gries  doc Riserva ,Terlan,,BOTTLE,2020,5000,1721,7,tav11,,True, 21 € 
,RED,Gries doc Riserva ,Terlan,,BOTTLE,2021,5000,0,6,tav11,,True,0
