name,size,vintage,price
"Chianti Classico ""Pèppoli"" Antinori",,2021,3800
Chianti Classico Riserva La Forra Tenuta Di Nozzole,,2019,5200
Pomino Rosso (Pinot Nero) Frescobaldi,,2020,3600
Le Volte Tenuta dell'Ornellaia,,2021,4800
Rosso di Montalcino Banfi,,2020,3500
Rosso di Montalcino Biondi Santi,,2019,12000
Cabreo Rosso il Borgo (Sangiovese–Cab. Sauv.) Folonari,,2019,9000
Guidalberto Tenuta San Guido,,2021,9000
Pino di Biserno Tenuta di Biserno Lodovico Antinori,,2020,10000
Il Pareto (Cabernet Sauvignon) Folonari,,2019,13500
Mormoreto (Cab. S.–Cab. F.–Petit V.–Mer.) Frescobaldi,,1415,11000
Montesodi (Sangiovese) Frescobaldi,,2014,11000
Brunello di Montalcino Pian Delle Vigne Antinori,,2018,10500
Brunello di Montalcino Vigna Marrucheto Banfi,,2017,10500
Brunello di Montalcino Vigna Ripe al Convento Frescobaldi,,2016,19500
Brunello di Montalcino Vignaferrovia Antinori,,2016,19500
Brunello di Montalcino Biondi Santi,,2013,30000
Brunello di Montalcino Biondi Santi,,2016,37000
Brunello di Montalcino Biondi Santi,,2017,37000
Brunello di Montalcino Riserva Biondi Santi,,2016,110000
Tignanello Antinori,,2020,20000
Guado al Tasso Antinori,,2020,22000
Luce Della Vite Frescobaldi,,2016,24000
Biserno (Cab. F.–Mer.–Cab. S.–Petit Verdot) Tenuta di Biserno Lodovico Antinori,,2019,25000
Dedicato a Walter (Cabernet Franc) Poggio al Tesoro,,2015,27000
Sassicaia (Cab. Sauv.–Cab. Franc) Tenuta San Guido,,2019,41000
Ornellaia (Cab. Sauv.– Mer.–Cab. F.–Petit Verdot) Tenuta dell'Ornellaia,,2019,37000
Ornellaia (Cab. Sauv.– Mer.–Cab. F.–Petit Verdot) Tenuta dell'Ornellaia,,2020,37000
"Chianti Classico Vigneto ""Bellavista"" Castello di Ama",,2015,32000
"Chianti Classico Vigneto ""La Casuccia"" Castello di Ama",,2013,32000
Palazzi Tenuta di Trinoro,,2015,39000
Massetino Tenuta dell'Ornellaia,,2020,58000
Solaia Antinori,,2020,58500
Solaia Antinori,,2019,56000
Solaia Antinori,,2015,70000
Solaia Antinori,,2010,59000
Matarocchio Antinori,,2017,75000
Lodovico Tenuta Di Biserno,,2019,120000
Masseto (Merlot) Tenuta dell'Ornellaia,,2017,120000
Masseto (Merlot) Tenuta dell'Ornellaia,,2018,120000
Masseto (Merlot) Tenuta dell'Ornellaia,,2019,135000
Montiano (Merlot) Cotarella,,2019,14500
Gutturnio Riserva Tenuta Pozzolo,,2019,2700
Cumaro Rosso Conero Riserva (Montepulciano) Umani Ronchi,,2018,4800
Pelago (Cab. Sauv–Montepulciano–Merlot) Umani Ronchi,,2018,6500
Mossone (Merlot) Stefano Antonucci,,2018,9000
